   		    0	    1	    2	    3	    4	    5	    6	    7	    8	    9	   10	   11	   12	   13	   14	   15	   16	   17	   18	   19	   20	   21	   22	   23	   24	   25	   26	   27	   28	   29	   30	   31	
  0		20266	36084	     	23053	 1199	14876	12868	 3445	14865	38500	50838	28498	55138	17833	10859	33351	27936	35083	 3630	24235	54903	19031	27996	12471	56282	36142	38420	30888	 1356	23346	15619	 9463	
  1		     	40763	52368	43026	 2957	44807	16874	42129	 4733	26935	55197	44707	31479	30302	29171	37751	52969	41612	 7679	59867	 2205	30322	15500	35909	51945	55237	     	31703	 6043	 7906	24968	21891	
  2		13487	19838	56721	42007	10691	26430	 5536	     	21425	42476	23062	 4550	27644	19209	52334	13029	 1044	13317	22604	10252	  959	 2769	14014	49428	26058	36472	32532	40081	 5943	     	52009	49522	
  3		45774	52241	40477	55460	45192	54807	17056	  666	14738	35158	37882	50240	37034	     	35141	17429	20303	19196	17866	27519	  183	  237	11467	 8729	27494	38618	34038	 4884	35490	30200	26110	23691	
  4		33266	42870	     	24349	15252	21945	 6686	     	 9982	54423	50605	 4147	24861	57238	     	32920	11428	38820	35364	45604	39921	13605	50475	10520	48484	41281	46050	30303	38983	 3464	51597	15374	
  5		38185	29685	55179	11717	18577	33869	     	55001	58871	16136	29655	34643	13789	24581	43610	42963	 2288	   51	16206	18770	20540	49772	59584	25959	31843	45093	43553	11565	26335	     	27573	37716	
  6		33955	29012	 4158	     	     	13705	50702	22314	20339	 4793	16888	44495	28690	16742	39940	39322	49014	53882	56416	53477	56853	59824	     	10517	18447	27762	31941	40925	22847	44353	30075	 5844	
  7		 2316	10523	55685	56535	 4557	 4347	17402	21860	13389	 1558	 4688	41234	17105	55019	32674	32198	17424	47384	55513	 3327	58268	49996	23466	57383	36949	40632	27413	31380	55170	48400	 1038	41624	
  8		 3931	42729	26414	41065	45657	27086	 3029	40082	 5374	14655	 4924	39986	21400	45198	52842	24948	 3847	18305	42922	58811	14001	54661	26336	22513	50463	18925	  680	     	49567	 5415	22420	26978	
  9		30290	50215	38182	 7879	29854	17254	     	 1555	  704	 4705	10542	58414	45947	40945	20917	45819	15204	 7179	49868	40310	21015	11847	44801	     	23002	24182	38567	37479	 1216	58502	54011	17329	
 10		39759	     	11641	11395	 4278	28417	54148	59649	44885	22966	 2237	 5097	41051	59878	34768	 9434	 7884	 5557	57208	52961	49695	32054	 7465	26945	 1630	34835	46673	45725	20939	     	29339	27790	
 11		35545	 5191	 6413	29150	22829	11589	40692	21351	10922	44632	  916	33274	33049	40202	59208	36160	 7631	36431	     	     	38222	30973	18248	41186	 5983	57249	43519	     	45820	10428	42540	57943	
 12		20772	30337	 7586	19249	     	42357	18325	47910	27690	 6362	34077	47427	59538	45837	59290	     	39296	 9764	51568	44664	43828	13816	35452	43383	40350	46037	12318	10444	26052	59746	14248	54283	
 13		25372	 4899	47765	 9161	28664	13348	43593	34494	58545	29254	20821	33828	32008	39251	53056	37910	15239	52421	43538	15806	33388	 1909	 6622	20654	 9711	     	  148	 2401	 2787	57806	44308	58344	
 14		 2641	35512	28048	41261	54343	25171	 7482	39483	20697	 9573	14277	     	 5027	12048	53719	55898	 5326	55934	21635	30136	    0	59921	44893	10040	19719	42510	 7733	 7502	49438	52036	 1996	36346	
 15		 7123	28579	35990	19009	15706	 7376	59647	21702	31974	30841	43213	45828	20429	17500	 4074	10124	 9861	17281	58010	 2224	22366	 6381	 5866	 3907	42132	  532	55389	 6638	13094	 5502	37611	46171	
 16		35162	46922	 5134	 2722	38989	 5716	16961	36605	 4445	13966	30579	24760	53600	 8128	 5533	38363	21483	 6776	21890	43738	24463	21795	38659	41357	25241	59244	23843	42846	42958	22406	 6598	35883	
 17		     	57376	46485	19748	59520	     	  623	34571	31343	17372	20154	49073	57337	53878	 2891	46379	18828	     	 8404	16212	43946	37704	     	27134	58622	     	46995	53265	 4414	16688	57562	59662	
 18		 4354	54430	35466	44501	15803	41208	14592	11187	22559	13049	     	10494	32249	26754	33673	22414	32176	 1311	31148	35631	 5923	33892	32372	13298	 7158	24794	22437	25321	  130	37516	21789	45005	
 19		31595	23617	52570	15395	21912	46524	42516	32831	51430	53977	59346	54525	58140	11303	44905	     	44797	53349	 7964	41597	 8288	46703	51139	46849	13716	43926	     	 6407	16468	24021	 1624	36524	
 20		42204	12039	21395	16653	 1642	14846	19224	24144	17111	40915	 3383	27924	48530	 8364	14484	29769	36720	10528	     	41872	24739	47198	16399	 7660	46350	14181	35097	 5023	30548	35134	 8402	33851	
 21		31355	 3440	52524	43133	     	  667	40778	39830	 5988	 8558	56866	 2579	25849	     	34463	13472	40396	38462	23844	19345	39823	46796	43860	24872	25567	33063	57155	41056	57343	 1588	59332	21482	
 22		27901	55543	55287	50379	     	15640	29112	41150	46830	59919	40577	23088	29624	22362	54873	55071	15148	45796	18709	36234	58683	56773	27124	40024	35080	14964	 7771	17685	59570	24293	10038	52293	
 23		20192	48390	27676	 6924	     	 9470	 8060	56935	     	32854	50671	30253	35189	 2116	     	12848	37746	50003	 6326	     	17201	22168	11688	28273	22373	16195	  772	10422	 7752	46543	48555	52082	
 24		45691	26731	25122	47460	25015	22506	27087	43986	 7368	58832	38892	 6907	53193	54371	31501	29397	50902	13219	38160	32393	 2525	27812	23896	35989	37013	19002	 7886	54169	24353	58732	 3405	47181	
 25		14654	16951	56523	40242	15172	     	10708	45536	49240	 5332	59317	33207	 4024	11793	37161	29910	28378	18208	28875	50827	35237	41177	22109	     	25023	30150	17798	     	26158	10225	17343	53663	
 26		23377	46807	44527	15886	51144	11986	52846	20766	 3233	 3248	28116	54917	12484	34542	37974	52674	 7861	 7683	32277	19392	 7048	     	58225	 9267	     	 5732	22161	31757	10129	55214	38780	44006	
 27		35185	38068	58122	50346	54153	39263	59774	16227	15596	47056	 4238	  330	21393	41551	36388	30249	16983	59399	28393	 1824	 1787	46014	 1462	35954	21410	53058	 1714	58141	19821	34548	50935	 1677	
 28		45123	20233	34022	12747	49531	24436	14468	52870	39714	19962	27385	37768	25776	18023	40388	32087	34621	47232	36391	19057	51827	37535	12173	     	 9123	22364	12548	39090	18064	39563	     	46865	
 29		31167	27835	 2805	   53	50241	50113	42697	23212	15473	57144	15186	55489	27371	14453	40795	10180	 4491	40832	 4518	49015	25496	51667	25907	25720	52219	36014	32903	     	40107	26277	18722	26139	
 30		47504	54028	50279	22524	50977	53103	16543	54835	13850	 5390	21139	     	55864	 1319	 3510	28279	16552	 3048	48540	26108	45707	 3591	39965	12163	 1026	27932	29455	10942	33153	49630	 7246	 6091	
 31		19492	24924	57704	39629	31397	27152	25883	18323	59837	46059	57490	29868	59489	35643	28202	49201	40179	 2700	39240	37895	 2977	 4333	39275	31113	24047	42860	42968	43095	59470	37018	19770	 3580	
