   		    0	    1	    2	    3	    4	    5	    6	    7	    8	    9	   10	   11	   12	   13	   14	   15	   16	   17	   18	   19	   20	   21	   22	   23	   24	   25	   26	   27	   28	   29	   30	   31	   32	   33	   34	   35	   36	   37	   38	   39	   40	   41	   42	   43	   44	   45	   46	   47	   48	   49	   50	   51	   52	   53	   54	   55	   56	   57	   58	   59	   60	   61	   62	   63	   64	   65	   66	   67	   68	   69	   70	
  0		12401	56245	38154	 9280	12417	22577	13068	     	22903	 3041	47876	30602	     	41010	     	15133	     	46357	 4311	53545	26918	 4527	     	20926	 3560	     	     	 5969	     	47459	38046	 1023	11865	     	21000	41845	37288	 3029	48268	24702	42517	27745	29870	31008	42341	56531	13987	     	49831	58503	35591	31681	34260	40718	28730	39124	28784	51574	 5499	19675	58555	12605	 5717	     	17623	58982	46889	18457	59870	16216	48660	
  1		57987	 4212	16885	 5745	 4376	47931	20872	52065	43573	36002	 7816	33533	38062	59307	     	29692	53081	25576	45069	18532	28979	22166	     	21863	25633	     	15311	18653	 4055	     	13153	25734	47138	 7982	40775	     	     	 5978	31546	16069	28490	22585	40288	44261	46320	     	14969	46503	58140	 8906	49753	20712	53819	14498	 7929	 9215	24338	17942	 1988	     	     	36470	18276	33518	 7057	47448	22959	     	12573	44649	27032	
  2		42691	35774	44838	39307	     	14592	     	52459	22793	21578	     	   60	39453	39311	26441	54003	50350	13360	26943	41353	     	43870	47364	18747	 3536	53527	 6957	14631	20049	59474	14594	34100	16541	25107	49480	55833	 9957	40644	24413	49968	     	 7571	59380	16001	12089	36579	56178	     	45746	  527	     	58671	 8343	45165	     	35226	     	     	     	59848	28196	18246	     	14033	18040	52344	42826	 1590	46621	24322	25595	
  3		     	 2849	41293	51345	19503	52189	27376	23374	17873	 3141	30539	     	28723	16600	11019	 3005	17597	24714	54118	 8996	31840	 4882	     	30115	12041	36846	 6149	15318	48781	17021	46103	10850	     	29473	     	15456	54416	47201	51152	15778	40625	25162	26896	44232	21871	30352	58251	50718	 2990	44661	19707	43308	 6948	 6440	     	18706	 5676	35654	48576	11032	17176	 8010	36330	19943	     	    0	 4873	30518	35313	24404	34253	
  4		48747	 7033	22174	16989	24437	15691	     	49519	47022	29819	     	14800	50602	12977	45001	22474	11595	 5537	31297	32424	 5509	 9157	     	20762	 1551	17738	10115	27535	29382	39146	 1603	 2952	13350	 9700	52227	28842	12963	 2746	18252	     	53841	46366	59060	17882	46108	27957	 9862	48663	     	56704	34733	47985	53618	51156	32038	22460	 6010	20630	57192	56873	55293	28385	33304	23040	39008	34196	39196	     	     	59607	20033	
  5		58390	52788	 9205	 3994	43546	     	40320	16938	28501	14308	50716	     	26265	 6599	27837	33668	     	24146	 7272	28498	46404	33786	34140	     	39526	20334	15338	  755	 4536	47665	39327	11241	39087	34874	47237	15654	     	     	     	16306	     	     	48140	32938	41938	57561	 1336	 2968	12086	45331	 5026	55929	46970	37748	     	42789	 1576	48160	33727	 6691	11779	 2792	55237	     	 9693	44606	11754	32487	57643	22319	54404	
  6		11407	24712	44872	59293	32728	   99	51179	44095	36488	50495	56712	20272	37369	 1352	25656	16782	38402	45327	48305	58461	     	     	34869	11940	58530	42128	 8622	 6218	18486	 2351	 1401	57562	43460	58672	17874	39177	50206	45294	35586	44012	41705	 7384	47323	28925	12783	 8818	41025	32570	41108	 9257	44385	 2019	25395	29055	34802	     	 1942	54317	     	 4393	50138	 4945	32999	19224	24889	     	     	44411	  225	32167	49686	
  7		     	 1162	50549	23740	     	44754	31718	14251	58917	     	35364	31541	 4848	19654	     	     	24977	17270	39628	51211	19324	     	10320	30222	34300	 6937	     	 9381	 8517	46006	19050	 8998	 5700	27050	50417	43831	41074	26050	27701	     	34591	56881	34107	31394	53647	 6214	17603	52370	13985	     	43258	26857	     	48429	55892	35898	29408	33097	28619	18011	52751	     	18506	 8337	19889	51278	 4342	14857	19228	     	34305	
  8		 6036	59712	29421	26097	 1513	14174	17105	35971	 2483	33747	39407	53353	     	45089	21539	38351	 3445	54916	45114	     	24382	58871	48638	     	     	42095	59867	53992	24174	39496	56883	45553	     	     	34248	     	18598	12145	32382	13946	23987	     	11905	35652	     	 2361	21893	45369	53847	55026	 6964	38556	19622	36463	26894	     	     	 8197	46340	     	     	26693	11975	33019	45264	 9375	17609	45492	30449	12011	27925	
  9		30940	36390	11948	     	 5750	 5401	32822	59833	51326	 5704	 1541	11303	54180	50719	 6945	18873	22177	14573	19579	     	13167	23178	27908	19359	34691	58856	 9369	36995	21510	 9265	11969	35376	20223	19727	18949	     	40378	39553	15089	55941	59199	59628	30672	     	47941	15093	31960	48571	28742	57390	  977	56330	29049	33680	24843	58343	22626	     	47041	     	15230	13388	 2873	23088	18556	     	13036	45785	58603	50844	27563	
 10		  394	 6641	32321	32592	25762	25695	     	25277	56877	43973	15255	44186	22044	53504	 6973	21803	 4927	44974	28112	40156	54669	24892	14422	     	     	48506	15876	     	46160	18726	 8395	 4720	50730	27732	46986	50557	55576	21519	 4676	35569	 3080	 5522	23809	44230	56857	10479	     	     	16552	47277	49043	     	30731	21468	 8680	26249	57909	52151	 4041	26505	 8579	57998	18299	46049	22406	24278	     	36533	43089	15192	 4971	
 11		37220	 8614	22671	29608	42579	38288	     	 1820	33074	33434	44348	13164	26063	29221	 2636	41111	14148	59061	     	29368	27448	     	 7533	 1391	21314	44413	17721	12626	44344	37320	14185	37615	     	39685	 8651	16662	     	     	 9206	     	10572	15905	38607	33287	20326	     	52606	32220	47686	 7219	  161	37911	 3531	30447	46387	 9027	58080	29937	44314	17042	12829	51190	59944	48938	48299	     	49664	43646	27152	     	  209	
