   		    0	    1	    2	    3	    4	    5	    6	    7	    8	    9	   10	   11	   12	   13	   14	   15	   16	   17	   18	   19	   20	   21	   22	   23	   24	   25	   26	   27	   28	   29	   30	   31	
  0		48576	48264	24391	19031	18526	13270	45080	57034	43836	33529	 8829	     	     	49778	     	17422	44575	18916	34182	59313	19376	     	20300	     	43015	50353	 6541	34861	51245	47368	 4139	     	
  1		55317	56925	18886	21729	33176	28840	 8452	     	28011	     	34641	     	23780	41914	46961	59337	28777	19846	39615	47521	52713	12204	55453	44456	44306	41758	50412	30955	23567	46178	46060	11431	
  2		     	22240	45222	56711	40279	18523	26053	35304	48515	33423	24947	 9447	37111	30544	31989	27158	29849	37646	53613	19436	18564	     	     	14016	17882	 5892	     	32601	41197	     	     	47028	
  3		35084	42815	22475	26324	 2942	36257	30670	27000	45022	58759	58959	23036	33758	 6432	43962	 4744	     	59759	55556	 9210	 2298	48045	     	17256	27571	     	42197	58290	 3041	 8705	24935	39383	
  4		25105	13193	56939	35580	     	18714	 7057	19957	51459	 7423	44027	44998	47629	18666	11167	     	     	10470	 9354	     	37737	24588	     	 3635	  985	42618	16236	26063	14996	16132	55282	 2423	
  5		30504	 8912	     	29352	     	17861	     	28954	51223	12495	55664	32351	49943	26963	44655	23196	59389	22415	34580	47977	48526	12040	59640	20740	 1882	21050	33767	14627	47339	20074	21059	52634	
  6		59116	50796	47575	18450	  500	29690	20077	 2864	     	 3932	     	12970	53907	59208	23825	59886	54961	53479	33195	     	 7093	19126	 9724	51439	     	 1828	40981	54165	47789	28928	     	48602	
  7		42557	10287	13968	53730	22435	32693	30910	50715	40735	 8436	     	23921	23524	42954	55724	23446	19567	     	58784	19291	33208	 4403	     	18280	12503	 2426	46897	     	32648	37055	     	47349	
  8		20242	16678	     	31914	10590	19993	54297	26367	     	32760	 2394	50364	57714	     	     	51325	     	12441	 4901	 1304	34058	28099	44171	     	30217	18652	44204	39477	 3732	28461	 6716	52581	
  9		     	20310	 5522	     	     	42149	20386	 8864	27863	     	32686	     	 1500	   84	21397	 1978	28902	 6598	 9980	58532	31287	48160	24208	54219	21315	42568	     	11501	46464	28421	39758	55873	
 10		48734	46366	25280	     	 4067	     	41881	 1580	46751	16520	     	     	     	59231	15905	12985	19485	50682	44761	 7126	     	12408	28626	23079	 4982	47862	46437	     	  303	56405	46612	15165	
 11		24909	33411	 9790	22407	29601	39939	15326	54226	     	52817	     	52749	56443	     	     	56821	35829	44449	     	47660	46157	52754	54913	15582	59741	     	37823	     	46999	33696	30645	 7898	
 12		46243	  522	18298	58834	     	46778	  656	     	34669	 9549	     	46788	     	35536	14594	54859	     	17028	50852	38170	38355	 5505	38763	     	34767	20912	28127	 8686	16450	14654	     	52629	
 13		50095	28282	59096	 2308	45283	18176	26177	  840	 8671	36030	39476	23257	49302	59049	38458	36563	41924	 3922	28073	57244	51050	26070	35058	43769	    0	48981	59495	40803	33969	 3011	34202	14538	
 14		53878	29263	55201	53306	35101	44620	10695	56461	56302	36478	52355	 2778	     	     	44043	55777	  853	53995	21660	33120	18693	     	19853	     	38428	 5215	18078	18842	18307	42517	11759	  807	
 15		57918	25952	     	35431	53906	52616	48418	48277	22021	58586	35965	51252	23729	45780	27317	 8637	41539	51773	30253	56291	16258	     	52395	11766	15180	     	     	 1186	 3324	  476	50295	46849	
 16		23248	17740	47008	30604	 9896	32863	43112	55551	23074	     	48361	28108	50444	 9797	21435	50376	58194	27966	36317	23549	 7355	42856	48762	13845	46982	 8169	58337	12158	17486	10645	 1470	43752	
 17		     	44821	45153	10213	43826	37078	54014	46823	 8566	20365	13786	35786	42711	 1009	10534	18100	 6670	     	11619	 3504	15038	47878	     	24320	32337	 5393	  377	46275	19093	 9675	     	32824	
 18		47260	     	23293	32506	40402	     	52209	     	 6297	     	 3341	     	42667	30379	52595	27404	 5326	31551	22184	42409	30024	35675	52693	46200	27624	51901	45142	35470	     	27596	     	18617	
 19		41314	13179	40654	 9624	55284	 6999	20243	48412	21221	27715	41911	14835	33192	15696	33241	55182	41390	46485	53203	33644	 3797	31293	18963	45810	 6494	43519	     	38242	     	14175	22384	53126	
 20		28861	19652	     	22123	49334	 5053	51142	 3152	58739	16585	 8667	     	     	     	50436	52280	21702	26116	     	13096	16569	     	45950	 1684	53789	45721	29512	21676	     	     	36325	     	
 21		 4561	     	37627	55858	53408	55289	39483	48631	19333	37738	41972	 5749	     	43107	 2105	36686	26026	28559	58302	     	     	10049	41429	37462	18132	37678	40307	36265	11706	  655	50899	14648	
 22		48545	15225	 4631	54252	37463	26977	58046	48747	33260	46702	 3271	17769	41664	     	50425	     	22652	     	43178	26614	17311	10355	56404	     	 6176	     	56245	45832	15017	55965	22108	56810	
 23		     	20002	     	29805	21166	59342	10325	 2361	59540	 5292	10003	56584	54596	12997	10898	53984	48575	     	 4808	     	 2845	     	44969	 4633	     	11872	21172	 4459	17695	56378	23889	35796	
 24		15731	45980	39034	46223	30252	19472	     	30457	19547	54623	     	26164	 1645	34055	49086	     	 3126	     	  768	53103	58327	34255	34563	37302	54336	     	 8132	     	19228	50898	49360	46936	
 25		16207	43630	30661	33041	10858	 5568	54214	51167	19794	47029	21834	     	40939	21634	     	46289	34868	12221	53566	28535	57746	17597	 3026	43464	19955	  336	32214	11589	39175	20432	25518	17314	
 26		29620	 9749	57697	11616	 2866	48997	23918	     	35892	     	38130	35854	32406	17351	 8156	43644	44209	     	     	52263	20151	41342	59546	14576	27192	     	17195	59968	57435	     	21156	37671	
 27		40802	 2116	26756	46376	57700	36272	21819	20958	18264	17520	45010	20672	12249	37653	12656	     	 9615	 7482	12908	 7086	     	     	15350	     	12406	45745	27976	30477	 9752	     	18400	28717	
 28		     	  193	22794	26202	 5408	50251	16966	25419	51349	54779	40748	     	33177	47775	39604	22325	42321	28536	     	17793	 9114	46081	33292	43801	22646	44572	46947	26046	32166	27913	27196	32211	
