   		    0	    1	    2	    3	    4	    5	    6	    7	    8	    9	   10	   11	   12	   13	   14	   15	   16	   17	   18	   19	   20	   21	   22	   23	   24	   25	   26	   27	   28	   29	   30	   31	   32	   33	   34	   35	   36	   37	   38	   39	   40	   41	   42	   43	   44	   45	   46	   47	   48	   49	   50	   51	   52	   53	   54	   55	   56	   57	   58	   59	   60	   61	   62	   63	   64	   65	   66	   67	   68	   69	   70	   71	   72	   73	   74	   75	   76	   77	   78	   79	   80	   81	   82	   83	   84	   85	   86	   87	   88	   89	   90	   91	   92	   93	   94	   95	   96	   97	   98	   99	
  0		17313	 8246	     	 1467	21689	13373	58004	10561	27203	17782	 7741	 2456	16244	27160	45563	56223	11081	16880	27219	53978	35226	31490	34319	     	     	12602	38148	     	14327	21820	 6476	48298	24353	16352	     	22788	     	47808	47168	15517	48644	     	     	43894	33968	39532	     	     	33800	25625	54112	47646	33561	     	44524	     	20034	22707	46369	51610	46903	45756	21791	40476	     	17504	31461	57881	52673	     	56864	43612	54031	47130	46083	59603	     	50011	13623	58899	29962	37270	13935	13176	31734	47749	38005	 4089	 2536	23272	45639	 1714	50452	12807	52124	15332	36330	22408	 3536	18774	
  1		35281	16485	39885	18308	     	26982	30394	     	     	57664	26084	21794	22162	10000	17803	50763	     	     	30252	40586	33082	47867	26533	29883	47439	     	20409	56315	30972	30989	 4935	47812	41540	     	58840	28705	30101	39701	52425	58873	45132	10522	49941	53908	 1090	22282	39809	18844	40457	 6821	37779	50424	49191	35386	26326	18617	44063	33042	36939	 6742	55956	58473	41838	44521	52606	55917	36353	10284	19748	57422	52549	55256	     	27314	32251	55231	     	18768	38627	28079	 9765	 5345	34047	33633	     	25317	 4662	     	     	22255	27116	28895	28352	25760	23816	18447	35581	19191	     	18167	
  2		58519	29719	32761	     	13651	38155	 4713	36366	26705	11394	43755	 5899	19859	     	20361	     	22197	53524	46163	 4622	29854	 8987	     	     	22205	     	27605	     	42881	28194	38536	18456	57455	20110	57199	29628	56198	     	31163	30538	 9660	58204	43557	34339	12092	29089	 7246	58852	31745	54703	16622	22208	16297	27867	52514	 1403	     	59829	16154	     	34507	27304	32975	46444	53207	11002	 7638	28232	 5511	     	 3375	     	58663	19112	30081	33673	35150	25587	30830	     	31043	23346	45363	53483	37271	     	45107	57649	22165	27177	 9125	34186	57900	58263	24679	15003	36521	 8407	15900	57391	
  3		56973	26770	28732	32521	32357	16424	 4516	28224	26105	23310	59862	     	47196	15061	25724	11698	17576	     	11184	     	33203	57973	38759	     	11868	39541	28933	49389	10125	16662	32413	     	 1881	     	     	55192	32995	59790	13845	40797	13141	 3045	12695	 4113	26784	29829	10958	59801	47403	33532	     	 3493	57278	19146	35619	31540	 7296	42155	 5649	     	39702	  898	10649	17844	23667	27002	19280	38504	     	49312	39496	  475	     	15953	56232	46290	30315	     	41658	     	 8494	 7081	33653	18676	23747	56382	54743	  697	56600	33328	11972	26088	 6956	24481	51395	26212	30963	42046	     	20372	
  4		10232	  536	     	     	46779	35164	28939	44496	43984	40026	     	43045	12956	32644	48538	56524	59239	36768	58270	19921	44478	47590	31850	     	 6452	 1799	58578	30350	 6342	 2791	58304	 3578	     	51127	44721	15376	23758	     	19452	36561	 7992	40111	40585	49056	31257	10909	 3064	49919	 5534	29229	35681	11494	51095	39099	55521	 2185	 5717	11618	55844	     	11298	 3913	15209	18753	 5171	30589	57666	 7815	18280	 5592	 8941	11784	22176	     	55030	34482	22754	42440	 3881	 3713	14406	14889	20905	33581	17462	23230	32140	55596	52861	 8221	51459	55846	     	29895	36793	47567	56160	21748	43152	 6126	
  5		23799	56825	53960	34916	 6875	48894	50132	47982	32849	56554	14791	 6302	33630	 1934	25115	20024	57017	19528	     	12018	30974	13811	 4413	 4039	42494	13381	38996	54618	44807	53263	  641	55078	19666	     	 9199	     	59173	31176	14275	40635	24678	43907	 8263	17102	52232	     	44470	 7397	 2534	35138	     	21666	57357	 1232	13844	37731	51564	 9922	 4723	27266	 3548	35850	     	53036	48149	13467	 3712	     	42430	25613	 4906	32556	 8735	52913	53542	 5903	39479	20462	22171	53715	13547	     	57196	 7566	25497	 9859	 2790	25439	22830	22002	22719	 5963	28373	 4813	  474	28882	24301	48851	40035	50343	
  6		26035	43362	18841	56664	45501	48111	52622	24373	20263	51198	     	 1453	46780	54497	 8074	21670	51922	26526	11826	     	57922	     	 5075	 5398	14827	33427	 5959	35311	32180	13282	     	44746	39392	27629	43761	36659	18827	46038	21062	44617	54231	30257	 7633	30466	16841	17122	57156	23617	24237	 4803	30229	15581	17742	11377	19897	58603	 5216	     	     	46656	20233	48665	27186	33943	 3688	 8744	23781	39855	49978	26762	56466	34828	16185	33417	35729	 6881	48299	32697	     	25364	12805	38163	     	39150	29355	     	     	 2046	  766	31112	49560	30346	55088	25703	47868	 9141	47779	38557	     	21865	
  7		36051	18610	 8088	17115	25767	     	52376	 8799	27236	 7890	     	26119	57152	21802	 2535	13966	26317	26771	38950	21710	40275	 8125	37512	33050	38674	20297	39104	44694	46844	20575	44408	42958	45511	 2455	33642	48565	39589	34478	49871	 4114	13931	     	36804	51758	40981	55931	15103	 4308	32695	50698	34195	11310	 5844	     	39818	 2862	53038	31459	33504	30855	 9949	     	     	40815	52018	22798	24790	 2406	21376	29240	58509	21805	40305	52389	14342	 7853	48241	     	44656	 8334	18074	     	20681	55174	 3856	44226	29809	22787	29250	15062	48588	 7110	54355	12831	12506	     	 3910	13923	45947	 7717	
  8		49067	33918	16384	39297	50823	  943	10605	     	49261	58633	 6243	37177	     	13696	     	     	     	 9883	38763	24300	21199	35769	15179	     	40322	59984	14597	32764	 3971	40216	     	59795	37396	     	25792	 2486	58140	37760	18680	 6528	23154	30549	     	52767	     	 6705	23957	37526	30286	33356	56590	     	32742	55263	22867	22440	46167	     	 9370	13006	47309	     	29739	31352	22313	47899	     	58963	15864	35792	49813	24123	17587	32323	12440	 4439	40682	49047	14163	 6774	 9393	     	13079	38455	16601	48504	16665	22716	53341	     	     	41602	40281	47898	 2030	     	14049	59272	37557	59646	
  9		19048	22154	15013	35320	25714	16826	27017	42216	47530	58469	40292	39913	12007	44879	32240	32968	13034	18706	10784	41258	     	42459	49578	18973	56057	11639	40344	 9284	38343	28689	31766	 7907	46833	40891	     	33004	45631	17386	33339	46857	22052	54275	27617	 6049	20088	10828	 6856	49814	14836	37937	     	19369	 6396	 1494	40925	16776	36174	     	38651	11010	42769	57265	     	47102	20823	17202	48525	     	10519	49497	22180	20788	     	57540	     	45545	22873	53937	  527	 3915	15477	34317	54773	     	15844	55867	13267	11419	 9650	20438	27814	59913	 1426	     	51305	26518	37032	59462	41271	37501	
 10		51036	51106	46302	 6890	57582	28478	54955	10239	25644	51544	     	     	57221	54025	28460	20846	27181	13584	56917	49977	23854	     	     	52573	  215	56354	43588	49938	39037	51389	12983	25959	35643	42746	     	21087	11446	37914	     	53472	38498	26495	43731	35246	50755	     	13213	29780	38079	     	32542	 2056	     	34639	52469	39267	 5412	40338	48900	     	38594	     	     	12433	29785	     	53873	14538	52734	     	49128	45797	35903	34761	     	17986	41434	     	 4007	 9258	     	55205	     	12538	     	 9742	14534	51342	22625	41813	     	 5323	16926	16884	43074	42201	55758	10064	     	55610	
 11		28765	 9695	45440	45782	32409	15607	 5261	 1401	     	47767	19890	55073	37072	16814	47497	     	29008	40606	53453	     	17496	36143	25321	     	 2089	22416	     	38752	40230	44006	29662	49075	56365	     	11727	10128	16949	     	     	20066	25702	     	25582	47736	58282	  258	30997	47478	 9738	29697	26287	12997	21568	29974	 2237	 4802	 7348	32013	52851	44225	 9764	17774	 3869	     	40997	29107	 7128	 5458	13953	55976	24730	15992	 8493	50261	11962	35775	38898	31203	40839	   69	56859	53289	     	31421	10989	32538	56717	53267	 3549	 5602	43049	15542	24525	39758	25852	 7494	     	 4790	     	30601	
 12		42493	44419	14751	21783	45800	56163	27322	 7626	16830	56352	 1717	15496	     	45380	 1449	     	     	39177	48903	42202	19983	43666	42764	47672	38293	57008	     	34487	21068	47771	 4634	13734	47958	17467	     	37712	     	41439	18593	46752	45650	13820	54254	 6595	24318	  892	51928	 8363	45659	11587	 9201	30505	33782	     	34481	20812	17208	50538	 7734	14576	22731	24056	 1608	 4620	29121	12678	29475	50358	23841	40450	39564	31550	48640	 8867	 6734	13713	50580	     	50067	22219	 4598	32513	33266	17526	24613	50231	59675	     	 1800	35472	28071	 7057	24506	41204	24379	20714	     	33905	30591	     	
 13		45018	33085	31650	  116	45677	10066	54068	     	 4440	15583	24262	13933	     	35297	     	38169	42588	24919	34225	29912	42161	33610	     	  414	19992	24825	58982	22582	 5736	48844	41046	52891	11287	50170	27920	46435	55615	34956	     	38533	32406	29390	26080	43642	     	14456	44736	55815	 7958	41228	     	16597	22811	     	49771	 2657	25689	54579	29859	     	45183	39556	 5334	15184	39765	 3031	  919	15220	 3956	10300	28165	15185	 9729	 3985	26063	57374	29114	32135	     	     	 1815	34853	     	24902	29517	42526	49184	  207	11668	13266	53971	     	27167	     	40659	41796	13669	54566	51631	27411	
 14		 6680	20402	 2384	52406	14771	15348	21320	 5319	 7586	22358	53266	56587	 3201	51702	     	37929	27506	59251	 3014	50685	26574	13482	39188	59571	47889	22235	56483	 7623	32375	55660	19665	23253	 5875	32693	11130	37694	24752	 6235	     	46286	23351	     	40184	30498	18181	19358	18186	47923	     	43695	48389	47787	14546	14498	55722	11970	29276	11671	15112	     	     	57111	 1522	36384	13061	20366	45517	43655	29687	55330	30026	 6775	  663	28531	16986	     	     	12620	44205	50266	38377	37478	12035	26816	19381	59998	  718	13494	15606	30206	     	10705	40546	43401	20904	51234	45602	     	46477	41207	
 15		13526	28869	 1943	 9545	15680	18476	 1007	54029	58058	30180	33722	15049	29175	     	45524	20501	     	44256	 6606	 5063	22898	32398	24334	     	     	37524	53582	     	27727	26648	     	11636	29260	  383	51437	37006	 6159	     	 8513	34117	15951	36747	28534	29157	10253	     	 6160	55152	26854	 4969	21454	39797	32335	31980	35583	49304	 5199	56624	 5776	36245	22480	15225	28075	54978	24888	15976	     	     	12942	45231	41700	 7395	     	     	 1933	 5695	21713	31779	35464	41142	19200	19282	21892	16849	     	15946	41478	48555	14357	50856	     	34002	  971	     	31778	     	51815	20098	17444	     	
 16		30209	27592	19188	     	34021	51820	51317	     	37708	     	20318	33976	33985	39254	50709	49921	36067	     	50787	  299	15991	13485	44237	21564	20272	     	48947	21824	31992	26746	15620	49539	34760	26000	40995	41195	33587	 2268	12793	47523	 7085	     	     	 8152	 4112	56727	 9762	18944	15507	50946	 6765	49500	33166	27043	     	46282	     	24740	59190	  606	12720	39157	56882	57109	     	42030	45121	56523	11827	43912	34448	38417	33788	56539	26492	53900	46621	45200	17473	49699	10974	18288	54335	49835	     	22963	55693	     	16864	16349	 5600	24625	43019	44763	 1383	20257	34061	 8940	17713	     	
 17		48221	49969	 4264	13675	37340	36428	 1336	12978	51983	     	     	 9105	 7250	17597	     	43712	21550	10202	 1291	 8450	18644	38927	 7447	28827	 8093	19275	45112	16958	20861	32243	     	51682	42492	 4871	38761	34290	26900	10197	49354	28548	  852	39367	38869	52344	54797	     	 3400	38824	49133	31394	16923	49418	 7269	44520	14640	 6778	24322	25971	11246	15484	54926	54140	 7517	22633	28453	14354	13210	18459	 2869	 5777	49268	19522	     	     	25182	  464	     	47684	10431	35019	43323	51539	 8701	     	20676	 8451	22923	 8467	 4753	 2724	28894	14691	     	48759	15211	17600	29180	23046	34381	42554	
