   		    0	    1	    2	    3	    4	    5	    6	    7	    8	    9	   10	   11	   12	   13	   14	   15	   16	   17	   18	   19	   20	   21	
  0		47014	47068	 4041	36509	42416	     	49604	     	38472	45648	     	     	51077	29637	     	 9587	17488	52553	14151	15466	58105	43662	
  1		59389	39678	42597	55053	     	17562	41965	13159	 2378	19589	58854	23926	47195	54884	 2633	15686	43019	 5462	27572	 7159	21519	     	
  2		14520	54264	 7422	55594	     	56382	56194	25904	21066	     	     	 9776	20531	 4603	     	42117	 1469	54189	37496	44370	58818	 2334	
  3		29475	40129	     	35616	18855	35877	16761	59001	17205	     	51224	     	40845	35359	27566	21962	29296	54908	 4297	40838	35982	     	
  4		13519	33907	34261	 6927	41665	42884	  580	     	     	16412	45329	45176	30571	46777	34791	27203	     	17854	50346	     	45255	22064	
  5		 6578	     	     	57227	     	31115	56421	41423	17993	20387	52912	37559	13455	23072	39878	14073	48584	 9032	     	15314	50641	35438	
  6		 9188	 2698	29512	     	59764	43484	     	13940	     	 1248	53866	     	48417	16142	53173	30638	14199	41334	     	     	 8721	13284	
  7		29551	28618	37701	44208	     	26653	 1164	36575	50473	27075	57453	24553	56917	 6517	31469	26775	20625	47953	49476	54944	51106	10135	
  8		48197	35947	     	58473	16189	18014	12307	     	21154	18891	57885	 5267	 7393	 7256	 7407	52602	57016	49469	29743	57773	24270	43537	
  9		48780	     	     	44578	22546	14757	24734	57795	59279	31985	50219	48837	20797	27671	41990	32226	31847	23862	29410	19424	28561	     	
 10		58995	12145	 8388	27806	     	  502	40993	 2818	   72	58194	 8668	42148	30891	14567	44979	27024	     	25579	     	40440	57677	14667	
 11		22977	58639	56398	36957	22293	 8612	38281	49680	30783	15403	54416	27614	38018	 7969	     	10667	     	49628	41738	39945	38374	 7131	
 12		52154	     	28269	55118	38747	53341	     	43339	24543	 9981	51800	16399	 8227	 8036	37986	31314	44496	23476	 4968	     	45725	43256	
 13		53335	 8689	55415	24311	55235	54840	17605	11694	56042	10620	35341	37524	     	28947	25306	13416	27895	 8843	     	54991	 6574	33375	
 14		42636	15691	10571	     	     	 4965	14348	29675	55730	44717	57850	16513	56215	49017	49255	40350	19137	29671	    0	52960	 4067	13229	
 15		40562	27579	29995	54277	51408	21738	     	48231	30357	38423	40325	35650	14233	12584	42227	     	25552	16025	21819	45138	48944	 9219	
 16		     	28840	 8719	  454	24901	 9473	41041	30955	13274	 1389	 4778	 9428	18980	41648	     	17332	52042	45928	16089	18323	     	59744	
 17		     	     	     	15749	 2801	34843	15850	 1255	 6707	20412	     	59579	 4753	32414	36910	 9275	42463	58599	57382	45600	 1783	24357	
 18		22555	31858	22667	14219	39035	59891	31362	     	48896	59757	 8954	17469	  922	27066	30408	55879	30272	 9061	36637	     	49957	39125	
 19		32548	57869	51414	20705	29226	39994	14008	     	59654	24927	     	 1624	51437	11604	19696	 2504	14893	     	38854	23202	11779	     	
 20		23014	     	23499	23907	     	36824	 9601	30841	21495	28924	 2517	     	23523	44531	34390	     	     	12763	39826	11653	43591	47821	
 21		 4144	     	12468	47426	16954	53395	 7921	     	     	     	     	52503	35507	  834	39849	56864	 3960	15748	 1480	43951	     	32198	
