   		    0	    1	    2	    3	    4	    5	    6	    7	    8	    9	   10	   11	   12	   13	   14	   15	   16	   17	   18	   19	   20	   21	   22	   23	   24	   25	   26	   27	   28	   29	   30	   31	   32	   33	   34	   35	   36	   37	   38	   39	   40	   41	   42	   43	   44	   45	   46	   47	   48	   49	   50	   51	   52	   53	   54	   55	   56	   57	   58	   59	   60	   61	   62	   63	   64	   65	   66	   67	   68	   69	   70	
  0		26692	 6506	 7814	10895	14539	27695	     	     	29853	52286	52643	     	14318	 7452	 2685	 4849	51507	38366	20494	23518	45536	30318	     	     	34240	     	47432	28734	34810	     	49978	     	10476	 5511	  815	53452	43257	38906	28638	14353	     	17465	32651	26644	37429	 4423	22639	26305	52776	 3778	     	19632	 3698	37467	38099	16556	52677	45919	 6154	14388	26355	     	36993	36600	42098	     	49600	26461	39121	24771	13584	
  1		45629	19063	42123	  101	     	21467	     	55795	43602	     	55144	     	     	     	 6877	     	38734	     	21445	10572	48935	     	 3117	 4190	10000	 8281	47145	10771	11962	17489	45130	21874	     	  334	25283	     	18949	26243	     	 3723	33472	15465	26124	55709	39438	 2420	48762	 5162	36633	49833	26585	55125	11774	     	11447	 5919	     	     	41495	50729	48611	     	18061	16993	19593	34237	35521	19916	59719	35167	17705	
  2		     	     	19244	 8134	17492	57043	 4727	30624	 3131	30871	20465	18907	32436	20282	45115	23880	     	53429	     	23833	46092	44235	22514	     	57367	     	35300	26510	     	42875	 9867	21818	32414	 8108	48137	35881	47651	56366	44853	 3690	17346	 3974	     	55529	     	58442	54068	47038	     	16970	33794	  579	 9594	     	59046	55929	32281	     	37553	  186	14210	16924	54283	24608	24475	13380	     	46796	56829	 7034	     	
  3		41397	26178	38557	46747	 9269	56854	41896	46727	     	     	23520	31483	59828	47549	39006	12172	47493	 9410	29216	     	 5585	     	24037	46702	44135	20858	14618	 1662	37983	52582	31899	 1735	57296	38626	53577	 3443	51590	 3937	     	19362	29682	     	42844	11404	39785	41571	53397	44969	 8916	41912	     	 5635	     	     	48492	59775	     	57128	58491	57428	     	 4319	49309	12426	     	 7115	27262	41651	49939	23287	53735	
  4		33841	     	 7499	57635	     	27679	10486	 9664	 9782	59372	20004	 1023	28007	29940	44826	51132	     	 5993	 1972	38182	56831	13905	  890	     	15971	36990	     	25377	18606	47272	     	 5631	58006	23264	37628	 9548	 8236	 3838	35795	37953	     	26109	     	32691	18792	 6411	 2153	43694	13871	53271	 6974	32390	17452	39956	 8240	   77	21550	35681	49209	53127	42241	38255	12619	     	25740	 1242	   91	17702	     	     	42429	
  5		     	 1951	25799	43488	38917	55883	23698	33848	16777	37991	 7677	 2231	24801	 1252	 5140	     	17654	     	36513	     	     	31178	26311	46659	25032	26512	 5031	10025	27067	52586	46067	     	 6053	31227	31675	31262	 7776	 6914	42423	33685	     	32801	14666	     	 9254	     	23914	29148	46380	21015	     	21373	     	 7678	40397	22684	50835	 4065	19036	54685	     	51599	23065	21617	56518	33815	     	     	33687	43079	 5493	
  6		 8403	59984	54232	52443	 5127	 2267	25753	24186	10612	49933	55922	56707	21807	54360	10176	23885	46025	     	     	34309	18496	35933	57314	34630	  915	 5032	47196	57930	48997	     	27287	26300	18579	 6966	     	27155	  729	58190	53489	30513	24352	 7317	46144	58437	13453	21127	46124	23939	 6768	53500	23293	28959	12943	 1690	24500	 5161	     	48606	50730	     	30118	51010	19011	28934	12266	42454	25084	17989	 5549	39484	55357	
  7		49975	57361	 9826	51620	53690	57178	39711	27779	  900	 4922	 9757	42256	10148	50534	 4266	51534	55104	40512	 7130	     	36842	51672	30215	 6829	 1454	59207	39220	36455	     	48108	 4565	 9203	30996	18731	35853	10180	     	10927	52967	 6512	13109	28905	47236	31469	 1042	58346	38450	25612	40013	31975	31191	58000	13300	25462	31505	31084	34130	19053	33377	21375	  640	32234	32302	22967	     	34646	12257	53719	21111	     	42480	
  8		     	 2757	44626	41758	34317	49945	58611	     	11737	     	     	59031	13582	20533	16682	34652	53349	     	10589	 2688	18924	51034	58835	     	     	31623	 6667	49124	     	     	34472	59847	     	 5115	     	15867	17358	41373	26171	 4306	41456	32549	27701	27063	28520	43794	13587	13700	     	     	     	     	11529	24637	37590	45728	15945	41399	22665	35394	16927	49659	39419	56560	52885	22203	54080	39287	46861	     	  978	
  9		     	 5819	16585	 5707	38085	 1538	20066	11427	39687	13503	59081	11892	33229	     	17762	17300	26020	47111	31689	 2146	34505	     	18369	20549	52174	45004	18332	34064	35037	47862	38569	23008	42091	     	12353	11867	12238	 1222	41491	37175	37645	25538	53512	36080	51182	     	36137	59993	19525	     	 4788	22145	35046	13113	40675	 9976	36975	46976	50846	 9035	30293	     	50014	     	56700	56173	     	28243	45412	 1591	 3891	
