   		    0	    1	    2	    3	    4	    5	    6	    7	    8	    9	   10	   11	   12	   13	   14	   15	   16	   17	   18	   19	   20	   21	   22	   23	   24	   25	   26	   27	   28	   29	   30	   31	
  0		48576	48264	24391	19031	18526	13270	45080	57034	43836	33529	 8829	42364	 4352	49778	 2583	17422	44575	18916	34182	59313	19376	30786	20300	17333	43015	50353	 6541	34861	51245	47368	 4139	30614	
  1		55317	56925	18886	21729	33176	     	 8452	55198	28011	  414	34641	33304	     	41914	46961	59337	28777	19846	39615	47521	     	12204	55453	44456	44306	     	50412	30955	     	46178	46060	11431	
  2		46634	     	45222	56711	40279	18523	26053	35304	48515	33423	24947	 9447	37111	30544	31989	27158	29849	37646	     	19436	18564	24784	24809	14016	17882	 5892	59700	32601	41197	27169	25174	47028	
  3		35084	42815	22475	26324	 2942	     	30670	     	     	58759	58959	     	33758	 6432	43962	 4744	29123	59759	     	 9210	 2298	48045	36751	17256	27571	     	42197	58290	 3041	 8705	24935	39383	
  4		25105	13193	56939	35580	13065	18714	 7057	     	51459	 7423	44027	44998	47629	18666	11167	 2967	31326	10470	 9354	44059	37737	24588	32706	 3635	  985	42618	16236	26063	14996	16132	55282	 2423	
  5		     	 8912	     	29352	24032	17861	19318	28954	51223	     	55664	32351	49943	26963	     	23196	59389	22415	34580	47977	48526	12040	59640	20740	 1882	21050	33767	14627	47339	20074	21059	52634	
  6		59116	50796	47575	18450	     	29690	20077	 2864	     	 3932	     	12970	53907	59208	23825	59886	54961	53479	33195	  619	 7093	19126	 9724	51439	22312	 1828	     	54165	47789	28928	18682	48602	
  7		42557	10287	     	53730	22435	32693	30910	50715	40735	 8436	56959	23921	23524	42954	55724	     	19567	56732	58784	19291	33208	 4403	25312	18280	12503	 2426	     	29763	32648	37055	12608	47349	
  8		20242	16678	14279	31914	10590	19993	54297	     	25885	32760	 2394	50364	57714	33403	45197	51325	59439	12441	 4901	 1304	34058	     	44171	33323	30217	18652	44204	39477	 3732	28461	 6716	52581	
  9		 3654	20310	 5522	57557	42992	42149	20386	 8864	27863	42516	32686	16283	 1500	   84	21397	 1978	28902	     	 9980	58532	31287	48160	24208	     	21315	42568	14839	11501	46464	28421	39758	55873	
 10		48734	46366	25280	 2331	     	37414	41881	 1580	46751	     	48531	15422	29139	59231	15905	12985	     	50682	44761	 7126	 8632	12408	28626	23079	 4982	47862	46437	23633	  303	56405	46612	15165	
 11		24909	33411	 9790	22407	29601	39939	15326	54226	40373	52817	22192	52749	56443	30587	14112	56821	35829	     	48260	47660	46157	52754	     	15582	59741	     	37823	13715	46999	     	30645	 7898	
 12		46243	  522	18298	58834	21842	46778	  656	30764	34669	 9549	58447	46788	43036	35536	14594	54859	     	17028	50852	     	38355	 5505	38763	57723	34767	20912	28127	 8686	16450	14654	 9531	52629	
 13		50095	28282	59096	 2308	45283	18176	26177	     	 8671	36030	     	23257	49302	59049	38458	36563	41924	 3922	28073	57244	51050	26070	35058	43769	    0	48981	59495	40803	33969	 3011	34202	14538	
 14		53878	29263	55201	53306	35101	     	10695	56461	56302	36478	52355	 2778	12524	     	44043	     	  853	53995	21660	33120	18693	39865	19853	     	38428	 5215	     	18842	18307	42517	11759	  807	
 15		57918	25952	16247	35431	53906	52616	48418	48277	22021	58586	35965	51252	23729	45780	27317	 8637	41539	51773	30253	56291	16258	58378	52395	11766	15180	 3518	56799	 1186	 3324	  476	50295	46849	
 16		23248	17740	47008	30604	 9896	32863	     	55551	23074	 5479	48361	28108	50444	 9797	21435	50376	58194	27966	36317	23549	 7355	42856	48762	13845	46982	 8169	58337	     	17486	10645	 1470	43752	
 17		18249	44821	45153	     	43826	37078	54014	46823	 8566	20365	13786	35786	42711	 1009	10534	18100	 6670	14200	11619	 3504	15038	47878	21180	24320	32337	 5393	  377	46275	19093	 9675	     	32824	
 18		47260	37578	23293	     	40402	28581	52209	42326	 6297	     	 3341	58314	42667	30379	52595	27404	 5326	31551	22184	42409	30024	35675	52693	46200	27624	51901	45142	35470	22456	     	48446	18617	
 19		41314	     	40654	 9624	55284	 6999	     	48412	21221	     	41911	14835	33192	15696	33241	55182	41390	46485	53203	33644	     	31293	18963	     	     	43519	13143	38242	22631	14175	22384	53126	
 20		28861	19652	12512	22123	49334	 5053	51142	 3152	58739	16585	 8667	 2301	   19	18452	50436	52280	21702	26116	41800	     	16569	48680	45950	 1684	53789	45721	     	21676	58835	     	36325	26589	
 21		 4561	24375	37627	55858	53408	55289	39483	48631	19333	     	41972	 5749	13262	43107	 2105	36686	26026	     	58302	48056	33144	10049	41429	37462	18132	37678	40307	36265	11706	  655	50899	14648	
 22		48545	15225	 4631	54252	37463	26977	58046	48747	     	46702	 3271	     	41664	50675	50425	25494	22652	14111	43178	26614	17311	     	56404	 3851	 6176	31309	56245	45832	15017	55965	22108	     	
 23		37319	20002	41935	29805	21166	59342	10325	 2361	     	 5292	10003	56584	54596	12997	10898	53984	     	     	 4808	12172	 2845	49102	44969	 4633	11881	11872	21172	 4459	17695	56378	23889	35796	
 24		15731	45980	39034	46223	30252	19472	59304	30457	19547	54623	33277	26164	     	34055	49086	52547	 3126	 2555	     	     	58327	34255	34563	37302	54336	34570	 8132	53266	     	50898	49360	46936	
 25		16207	43630	30661	33041	10858	 5568	54214	51167	19794	47029	     	45219	40939	21634	45473	46289	34868	12221	53566	28535	57746	     	 3026	43464	19955	  336	32214	     	39175	20432	     	17314	
 26		     	 9749	57697	11616	     	48997	23918	36908	35892	53922	38130	35854	     	17351	 8156	43644	     	38805	26402	52263	20151	41342	59546	14576	27192	47623	17195	59968	57435	23569	     	37671	
 27		40802	 2116	26756	46376	57700	36272	21819	20958	18264	     	45010	20672	12249	37653	12656	20619	 9615	 7482	12908	 7086	19781	43762	15350	53330	12406	45745	27976	30477	 9752	34786	18400	28717	
