   		    0	    1	    2	    3	    4	    5	    6	    7	    8	    9	
  0		14023	47098	13023	29920	25697	19161	24271	57763	57133	47024	
  1		     	41212	19447	 9070	14153	50961	23897	30747	46537	     	
  2		27116	41343	 5296	38382	42160	46133	21535	15276	     	     	
  3		24511	29967	13834	48816	20229	    0	 2758	 7809	41655	     	
  4		29775	  813	 2708	42372	26764	 3652	36904	53250	 2914	46317	
  5		52893	16119	30385	10043	48832	43112	19493	13533	37776	 8175	
  6		15281	 1746	58292	52356	44312	39400	19180	50177	41007	48020	
  7		22669	44736	27847	14253	54365	 2912	47978	29532	46150	29097	
  8		21742	18457	 4981	11259	 8400	  933	55507	18487	35239	 1112	
  9		32085	46130	37775	 5845	36875	24598	10475	29960	19735	 9468	
