   		    0	    1	    2	    3	    4	    5	    6	    7	    8	    9	   10	   11	   12	   13	   14	   15	   16	   17	   18	   19	   20	   21	   22	   23	   24	   25	   26	   27	   28	   29	   30	   31	   32	   33	   34	   35	   36	   37	   38	   39	   40	   41	   42	   43	   44	   45	   46	   47	   48	   49	   50	   51	   52	   53	   54	   55	   56	   57	   58	   59	   60	   61	   62	   63	   64	   65	   66	   67	   68	   69	   70	
  0		20241	51561	30584	43197	55043	     	35040	     	16326	22453	53584	30074	51500	26085	23723	10009	47882	49103	18409	56116	18210	59042	27255	 2100	36337	33699	 9859	 2714	 7575	36778	     	10055	32542	     	 4788	 1411	29845	     	17915	53707	     	 9603	 4607	22884	     	 2281	34850	54739	 7308	58803	47626	     	19310	35138	 3056	28749	 8469	10207	  603	50158	 1486	     	 3631	  781	33146	19050	33792	13061	34588	56855	 3427	
  1		49027	19424	19408	 5746	36264	32052	50833	42212	55454	     	 8900	33079	44802	16890	38783	52337	57808	40029	18356	32129	     	52862	43148	31617	54813	  220	32563	25363	31830	59904	     	23291	     	 3676	32512	22849	51544	18716	57000	30378	     	55316	28088	     	16932	 9920	26170	 9158	52826	26387	52125	21309	     	42122	41108	29318	59358	 6772	20854	 1977	20598	 3800	34288	20537	11168	 3356	50558	39609	     	40803	40878	
  2		18818	22602	36120	     	     	     	57376	     	48443	54162	21670	36862	 5525	 5585	 8395	47402	     	17820	33574	31016	34784	     	30015	12673	28078	28900	 2843	58602	 5169	     	20409	 8889	50322	50028	     	13621	23282	 5082	23272	     	40427	27184	16465	39914	     	 6081	18353	     	45256	53771	 8488	47313	35612	     	34798	20850	24425	 5332	47634	13257	27793	42311	14696	 4518	     	49208	13572	44038	     	50469	50212	
  3		44803	28377	10307	18323	42377	 8949	46519	 7469	     	     	26686	54021	 3662	15250	14677	33088	48623	37018	44103	57967	     	45168	 6630	34349	14923	36694	34220	54006	46533	11544	     	     	57627	59254	22105	     	34907	 4944	     	30761	21879	42457	     	17334	16870	12999	29619	49298	55656	57945	35517	37829	 1384	11023	58397	22846	  237	 4289	 1753	52601	57998	24448	     	     	42728	42884	57495	25117	 9344	     	28160	
  4		47561	25844	 3079	     	58132	 9910	41304	     	54202	 5539	13882	12879	31331	17377	11086	10327	51225	     	44777	 7877	19191	38452	     	     	36610	39138	 9948	     	30929	23506	 5763	42165	13273	48836	44700	32914	31495	54599	 5949	30091	     	16954	23377	27661	17030	46628	39840	 9632	20512	35300	55335	57661	 8901	34287	     	47582	43826	23828	48946	53630	19343	47874	21786	18702	38963	 6209	27367	10619	33361	58477	22774	
  5		14234	29713	39576	11884	     	48662	     	47087	51358	34928	     	     	     	 9989	 5908	     	 6455	31021	31861	     	32250	37430	 6639	32339	45373	18550	38894	     	20350	49347	21253	36893	52177	24915	     	     	25224	47494	43692	 2746	52229	26322	     	44610	44702	     	 1739	     	51507	32398	 5389	53815	     	53200	43158	33931	     	 7307	44031	43803	30565	     	 7908	42348	25100	 5643	17057	     	     	44374	20540	
  6		27346	     	     	46395	40925	 7572	49976	50587	37646	53435	 5314	     	36824	24081	53177	15711	47937	18225	50563	31423	33609	     	     	     	     	 9023	52890	16267	50011	27088	45644	 4842	35240	55890	     	 2201	37409	38959	     	32940	53642	52918	43261	20710	14647	49908	25805	26672	45662	22508	22561	52880	29636	52152	33535	29744	38654	47381	20388	48094	 3796	22897	     	24366	     	     	56114	52522	57060	47970	31554	
  7		51122	 7483	43863	58841	54029	 5506	     	 7550	14389	20224	52381	27390	41774	47467	39533	57570	 2867	57374	27165	40355	29429	57234	18835	57036	32630	36089	37921	     	46848	54426	57323	 7016	 5008	 1693	45186	20010	36441	53047	49905	 5527	39765	  819	48872	 1337	59917	     	39496	36457	31469	 3337	     	38519	44018	13262	42383	38249	33988	23872	 2702	49127	51437	     	36345	33237	33285	16319	20793	49947	     	57645	16875	
  8		 5750	41797	44163	46667	 4772	45529	45595	 3365	     	46304	 6485	55524	 4555	49278	     	52487	18300	45469	 1950	13250	48515	53873	58742	56478	 9428	     	31854	44148	 4405	14611	40156	58963	31767	     	49664	46278	     	11345	51627	39915	27630	24605	39273	  783	43595	   86	17578	     	     	47220	 7434	15290	49752	24835	59090	14622	16520	55571	25229	29311	38315	     	16787	16963	20254	29607	59399	50839	     	 9338	44270	
  9		23677	 7938	51946	 5884	33782	38331	41088	31499	44404	37891	28092	24634	  482	18157	30815	47544	15606	33884	18329	 6883	16993	50997	16324	49345	     	42621	22418	15443	 6212	48982	12244	41206	     	15257	49964	27485	37432	50117	     	 3090	 9089	     	51154	43937	21797	21500	18911	22689	28638	 3241	51849	 2600	45010	54419	30098	     	     	18711	     	30365	25862	22018	     	     	15963	44620	19909	 8928	41393	25739	28202	
