   		    0	    1	    2	    3	    4	    5	    6	    7	    8	    9	   10	   11	   12	   13	   14	   15	   16	   17	   18	   19	   20	   21	
  0		46359	36713	     	55687	     	15195	57947	     	45972	     	 4920	53941	27260	50910	 2741	     	33669	38334	45924	55973	16223	13254	
  1		35389	 2484	55273	52742	24979	53434	     	 6145	32856	42017	     	11285	15982	30044	     	 2177	13260	12996	25553	56205	40578	     	
  2		15736	17675	 1410	31987	32226	     	24577	19186	32950	23062	27525	18313	33792	     	49709	 8500	32155	30654	57321	48744	59870	40457	
  3		28268	 4612	40704	     	18359	     	56731	48154	51516	37504	 4237	 6728	  405	37026	58638	42399	45423	33750	  452	59804	 8339	29981	
  4		     	24300	19389	     	37247	19469	39748	29516	46281	 3058	48104	17970	     	     	32271	  876	 6469	54594	 5687	18962	     	36838	
  5		52969	48967	43625	22596	30269	54082	49030	37935	17114	 1092	15737	25150	 2657	     	51103	32054	57785	     	     	22681	38871	49575	
  6		 6585	42358	     	53659	     	57925	52922	48370	48637	  556	44489	57329	35101	 1670	47135	     	43631	     	38173	     	41009	 4930	
  7		     	57741	35293	47726	 9481	32576	 1909	25277	 4333	45358	 6949	47073	26061	31743	50960	23297	19909	17368	43533	39230	 4688	     	
  8		47899	  307	40729	26907	14874	26548	     	20558	  664	36933	32688	18052	39279	  228	 8513	13173	40973	36167	13426	36279	55983	41367	
  9		10653	     	48081	49925	44639	36630	24772	26241	20557	36602	19169	 7927	 1306	45370	     	56068	11712	 4961	41354	42206	16213	28278	
 10		 2478	36419	33875	37731	     	50198	 8743	37267	35307	11423	50018	39316	16870	40895	56065	13825	 8771	13731	59305	27810	32623	41299	
 11		28840	11768	44155	50530	35774	11603	51598	28690	 7501	 7274	32786	25884	     	29068	36856	     	     	25878	 1960	41476	59349	26248	
 12		17161	23579	52531	27030	 8087	44329	     	15184	29609	     	     	 2042	     	42858	33261	13272	18752	23826	35106	35476	13589	56619	
 13		22390	     	52997	27158	51164	     	10726	15388	30537	     	42272	 3395	26545	 4432	14159	     	13131	     	 8617	52447	52325	     	
 14		     	33409	10949	42782	     	    0	33571	57266	 2974	39935	 5392	19549	20102	45242	30982	35858	57063	59523	37421	34626	 1080	21900	
 15		51868	46531	24563	     	 8106	 7565	27065	10301	44368	57647	     	 8849	12290	17438	49215	37190	28876	46333	 1999	30621	29036	     	
 16		 2695	29349	19496	     	     	38858	     	10397	43573	47445	 5634	14033	50690	     	24949	11461	56224	29761	18492	50415	21097	     	
 17		16488	 3877	43930	56052	     	     	24263	22095	20440	     	14710	16823	54705	41084	21547	  475	24614	38335	25292	 4042	     	 3026	
 18		30823	     	     	35506	24099	     	 2829	 8916	28897	49534	12210	     	 3502	 1540	58904	53687	48505	48001	     	34150	51026	12954	
 19		47313	     	40784	57759	 6487	58354	51693	13092	25707	48084	49312	     	12080	26851	 8921	17561	27595	 5729	40007	33457	46202	51462	
 20		42362	40300	49211	24870	41239	49794	27413	30454	     	33563	39011	35797	     	28423	 1029	     	16676	38175	44655	29781	13003	20455	
 21		     	     	 7626	12005	33709	46321	49127	59258	     	37305	36628	45345	51861	 7699	13832	15661	47402	34941	 6373	46902	13667	     	
