   		    0	    1	    2	    3	    4	    5	    6	    7	    8	    9	   10	   11	   12	   13	   14	   15	   16	   17	   18	   19	   20	   21	   22	   23	   24	   25	   26	   27	   28	   29	   30	   31	
  0		20266	36084	46586	23053	 1199	14876	12868	 3445	14865	38500	50838	28498	55138	17833	10859	33351	27936	35083	 3630	24235	     	19031	27996	     	56282	36142	38420	30888	 1356	23346	15619	 9463	
  1		10472	     	52368	     	 2957	44807	     	42129	 4733	26935	55197	44707	31479	30302	29171	     	52969	41612	     	59867	 2205	30322	15500	35909	51945	     	11014	31703	 6043	 7906	24968	21891	
  2		13487	     	56721	42007	10691	26430	 5536	14133	21425	     	23062	 4550	27644	19209	52334	13029	 1044	13317	22604	10252	  959	     	14014	     	26058	36472	32532	40081	 5943	46318	52009	49522	
  3		45774	     	     	55460	45192	     	17056	  666	14738	35158	37882	50240	37034	     	35141	17429	20303	19196	17866	27519	     	  237	11467	 8729	27494	38618	34038	     	35490	30200	26110	23691	
  4		33266	42870	54897	24349	15252	21945	 6686	57652	 9982	54423	50605	     	     	57238	25419	32920	     	38820	     	45604	39921	13605	50475	10520	48484	41281	46050	30303	38983	     	51597	15374	
  5		38185	     	     	11717	18577	33869	41210	55001	58871	16136	29655	34643	13789	24581	43610	42963	 2288	   51	     	18770	20540	49772	59584	25959	     	45093	43553	11565	26335	12863	     	37716	
  6		33955	29012	     	46096	47281	13705	50702	22314	20339	 4793	16888	44495	28690	16742	39940	39322	49014	53882	     	53477	56853	59824	20359	10517	18447	27762	31941	40925	22847	44353	30075	 5844	
  7		 2316	10523	55685	56535	 4557	 4347	     	21860	13389	 1558	 4688	41234	17105	55019	32674	32198	17424	     	     	 3327	58268	49996	23466	57383	36949	40632	27413	31380	55170	     	     	41624	
  8		 3931	42729	     	41065	45657	27086	 3029	40082	 5374	     	 4924	39986	21400	     	52842	     	     	18305	42922	58811	     	54661	26336	     	50463	     	  680	     	49567	     	22420	26978	
  9		30290	50215	38182	 7879	29854	17254	41426	 1555	  704	     	10542	58414	45947	     	20917	45819	15204	 7179	49868	40310	21015	11847	44801	52547	23002	24182	38567	     	     	58502	54011	17329	
 10		39759	28114	11641	11395	 4278	28417	54148	59649	44885	     	 2237	 5097	41051	59878	     	 9434	 7884	 5557	     	52961	49695	32054	 7465	26945	     	34835	46673	45725	20939	13246	29339	     	
 11		35545	 5191	 6413	29150	22829	11589	40692	21351	10922	44632	  916	33274	33049	40202	59208	36160	 7631	36431	59583	 8179	38222	30973	18248	     	 5983	57249	43519	15533	45820	10428	42540	57943	
 12		     	30337	     	19249	56063	42357	     	47910	27690	 6362	34077	47427	59538	45837	59290	59636	39296	 9764	     	44664	43828	13816	35452	43383	40350	46037	12318	10444	26052	59746	     	     	
 13		25372	 4899	47765	 9161	28664	13348	43593	34494	     	29254	20821	33828	32008	     	53056	37910	15239	     	43538	15806	     	 1909	 6622	20654	 9711	44765	  148	 2401	 2787	57806	44308	58344	
 14		     	35512	28048	41261	54343	25171	 7482	     	20697	 9573	14277	36623	     	     	53719	55898	 5326	     	     	30136	    0	59921	44893	10040	19719	42510	 7733	 7502	49438	52036	 1996	36346	
 15		 7123	     	     	19009	15706	 7376	59647	21702	     	     	43213	45828	20429	     	 4074	10124	 9861	17281	     	 2224	22366	 6381	 5866	 3907	     	  532	55389	 6638	     	 5502	37611	46171	
 16		35162	46922	 5134	 2722	38989	 5716	16961	36605	     	     	30579	24760	53600	     	     	38363	21483	 6776	21890	43738	24463	21795	38659	     	     	     	23843	42846	     	22406	 6598	     	
 17		 4132	57376	46485	     	59520	14175	     	34571	31343	17372	     	49073	57337	53878	 2891	46379	18828	     	     	16212	43946	37704	40285	27134	58622	49873	46995	53265	     	16688	57562	59662	
 18		 4354	54430	     	44501	15803	41208	14592	11187	22559	13049	52944	10494	32249	26754	33673	22414	32176	     	31148	35631	 5923	33892	32372	13298	 7158	24794	22437	     	  130	37516	21789	45005	
 19		31595	23617	52570	15395	21912	46524	42516	32831	51430	     	59346	54525	58140	11303	44905	 7294	44797	53349	 7964	41597	 8288	46703	51139	46849	13716	     	53722	 6407	16468	24021	 1624	36524	
 20		42204	     	     	16653	 1642	14846	19224	24144	17111	40915	     	     	48530	 8364	     	     	36720	10528	56305	41872	     	47198	16399	 7660	46350	14181	     	 5023	30548	35134	 8402	33851	
 21		31355	 3440	52524	43133	36192	  667	40778	39830	 5988	 8558	56866	 2579	25849	28536	34463	13472	40396	38462	     	19345	39823	     	     	24872	25567	33063	57155	41056	57343	 1588	59332	21482	
 22		27901	55543	55287	50379	     	15640	     	41150	46830	     	40577	23088	29624	22362	54873	55071	     	45796	18709	36234	58683	     	27124	40024	35080	     	     	17685	59570	24293	10038	52293	
 23		20192	     	27676	 6924	49082	 9470	 8060	56935	     	32854	50671	30253	35189	 2116	42353	12848	     	50003	 6326	     	17201	22168	11688	28273	22373	16195	  772	     	 7752	46543	48555	52082	
 24		45691	26731	25122	47460	25015	     	27087	43986	     	58832	     	     	53193	54371	31501	     	50902	13219	38160	32393	     	27812	23896	35989	37013	19002	 7886	54169	24353	     	 3405	47181	
 25		14654	     	56523	40242	15172	49628	10708	45536	     	     	59317	33207	 4024	11793	37161	29910	28378	18208	28875	50827	     	41177	22109	46177	     	30150	17798	18907	26158	10225	17343	53663	
 26		23377	46807	44527	15886	51144	     	52846	20766	 3233	 3248	28116	     	12484	34542	37974	52674	 7861	 7683	32277	19392	 7048	37827	58225	 9267	53025	 5732	22161	31757	10129	55214	38780	44006	
 27		35185	38068	58122	50346	54153	39263	59774	     	15596	47056	 4238	  330	21393	41551	36388	30249	16983	59399	28393	 1824	 1787	46014	 1462	35954	21410	53058	 1714	     	19821	34548	50935	 1677	
 28		     	20233	34022	12747	     	24436	14468	52870	39714	19962	27385	37768	25776	18023	40388	     	34621	47232	36391	19057	51827	37535	12173	48918	 9123	22364	12548	39090	18064	     	25946	     	
 29		31167	27835	     	   53	50241	50113	42697	23212	15473	57144	15186	55489	27371	14453	40795	10180	     	40832	     	49015	25496	51667	25907	25720	52219	36014	32903	11959	40107	26277	18722	26139	
 30		47504	     	50279	22524	50977	53103	16543	54835	13850	 5390	21139	 6196	55864	 1319	 3510	28279	16552	 3048	48540	     	45707	 3591	39965	12163	 1026	27932	     	10942	33153	49630	     	 6091	
 31		19492	24924	57704	39629	31397	27152	25883	18323	59837	46059	57490	29868	59489	     	28202	49201	40179	     	39240	37895	 2977	     	     	31113	24047	42860	42968	43095	59470	37018	19770	 3580	
