   		    0	    1	    2	    3	    4	    5	    6	    7	    8	    9	
  0		15324	58489	21271	53121	50571	33263	52991	21573	     	 3239	
  1		     	13298	33574	35118	43859	38024	41215	50977	13640	 8317	
  2		42708	55755	58240	26985	    0	51684	     	     	57127	     	
  3		     	     	47261	     	     	45094	44040	     	26810	     	
  4		12348	     	17391	37245	53666	47505	 7944	34813	45451	     	
  5		23556	18430	26879	45351	  317	28504	18212	25725	37973	30481	
  6		 4763	     	 4465	53487	26760	38074	 9220	47186	19019	27267	
  7		     	37868	27252	38917	58907	16164	42425	 3823	10013	25560	
  8		30017	 2514	52725	48702	 9838	37589	56674	11999	37547	16281	
  9		13008	16916	13681	50489	10122	58154	 5080	31834	50598	16362	
