   		    0	    1	    2	    3	    4	    5	    6	    7	    8	    9	   10	   11	   12	   13	   14	   15	   16	   17	   18	   19	   20	   21	   22	   23	   24	   25	   26	   27	   28	   29	   30	   31	
  0		 5079	48216	 1380	29723	51085	52478	45383	10659	35018	50768	46098	56395	     	18728	27457	57640	44393	34938	     	41310	42673	53541	     	41301	     	 1759	20359	31098	     	51443	47050	52800	
  1		21596	37012	26213	26165	12345	56313	     	33327	11760	41463	51826	38079	27653	32659	 1338	32430	26990	20318	53840	42432	  227	     	     	45585	31357	16895	27662	 6046	     	36823	32406	     	
  2		46772	52792	53059	25663	     	21032	     	18015	35628	 3028	     	16292	55533	51269	26691	57465	39711	51661	47106	     	     	 9519	53706	     	46744	38110	41212	29548	     	13214	32179	49977	
  3		52100	59122	10447	     	17640	 4880	58833	54228	50134	11920	45875	     	30520	 8056	28681	14704	32750	     	10702	56343	     	 1708	37890	48118	21408	24886	17859	     	13816	22175	     	18164	
  4		36340	46425	21243	21826	     	59781	39411	17706	 7513	 4531	39910	 5638	57348	41625	40388	58240	 4711	30982	 1651	     	54084	54410	51857	 4265	     	37505	54742	19951	     	     	31885	27479	
  5		57571	     	     	39542	     	25128	19768	37211	27853	16094	28475	 5124	31431	 3840	19571	49062	15262	 1957	24167	20169	     	47710	     	17862	11696	42338	    0	31471	31224	25187	24595	45816	
  6		27208	49931	45110	 1444	     	 3811	     	45198	43773	     	53002	39119	30765	49472	21232	 1324	44394	21986	40257	30106	54979	 6222	     	29752	36462	11323	 7932	 6360	 9201	10244	55489	22781	
  7		20234	48836	28778	28256	52886	32964	33755	22103	 2509	34287	53764	17589	57944	40450	     	11326	55811	     	53042	     	 1532	51411	48778	 2269	 2106	     	42191	53003	42648	50412	59716	33087	
  8		59063	22740	14557	53492	39593	     	     	45020	22390	     	29908	18833	34892	34300	  871	24575	40140	22897	27405	25106	44001	39405	50771	40095	43520	40109	 1358	     	 6374	57436	54500	 8159	
  9		18667	24642	46858	52443	13477	   55	     	 9087	39870	25240	41524	28295	 1349	11883	 6662	43925	13317	  155	27945	45357	11809	19594	49026	 7262	 6599	45837	44579	     	48557	     	38962	     	
 10		     	37849	29243	     	59733	49466	26146	27834	     	28441	28610	12455	51793	41344	21405	18323	55795	47994	     	     	 4285	45424	32677	24400	     	53491	35431	18737	28174	39735	10771	 7824	
 11		13819	 8851	44078	     	28631	 2459	55097	  672	37638	39430	24321	 5316	 3024	42548	 1883	11436	39573	 7505	     	59593	31312	     	     	55158	57332	     	29104	19488	32865	15647	45319	     	
 12		     	25940	36372	     	16478	55045	29580	20347	53882	     	24412	20066	     	26615	17661	52918	37309	35780	19906	29960	     	39078	51405	     	37852	18551	18676	58748	     	16650	38852	58835	
 13		     	14805	11558	 6187	 5052	12472	     	19784	15237	12791	40429	     	 1934	     	44428	31595	25587	     	29284	 6729	51116	50171	57315	25405	24529	39335	22822	 3619	     	51436	 1760	17979	
 14		52393	     	52392	28187	30087	 3943	     	17707	16803	10571	     	29349	46759	36002	31172	39017	21401	13706	30596	59223	 7271	44769	20547	20779	23596	 1615	     	49325	     	54618	     	43693	
 15		37689	 6635	54161	39853	     	37523	11715	12330	20596	     	13535	21351	28253	44123	 5291	20019	18939	21528	38142	18497	48112	 7565	     	13334	     	53900	52422	38189	 6341	 4012	43764	18907	
 16		23456	 7140	 9027	35229	39964	45906	 3866	17683	40621	 4777	30309	     	 5791	17506	     	13676	54932	14406	11570	41474	21368	34197	51092	17390	59381	 7495	 4039	29071	     	     	16848	11963	
 17		25772	51705	14125	13476	 7434	30921	49256	22403	35500	22197	28906	43109	     	36567	30615	27116	24351	13776	19389	46009	 2066	30559	46666	 5067	 8867	24780	18674	39461	55845	 4694	10080	25470	
 18		 9832	     	36889	19517	     	 3335	 7321	 4329	 6905	57772	     	 7407	25907	52536	24443	  910	31189	16762	     	13739	 9911	17303	53488	     	     	 7610	36853	45419	     	10627	 8293	54452	
