   		    0	    1	    2	    3	    4	    5	    6	    7	    8	    9	   10	   11	   12	   13	   14	   15	   16	   17	   18	   19	   20	   21	
  0		47014	47068	 4041	36509	     	     	49604	27142	38472	     	     	  120	51077	29637	59419	 9587	17488	52553	14151	15466	58105	43662	
  1		     	39678	42597	55053	43170	17562	41965	13159	 2378	19589	58854	23926	47195	54884	 2633	15686	43019	 5462	27572	 7159	     	 7595	
  2		     	54264	 7422	55594	44748	56382	56194	25904	21066	 8517	32713	 9776	20531	 4603	42453	42117	 1469	54189	37496	44370	58818	 2334	
  3		     	40129	13551	35616	18855	35877	16761	     	     	  172	     	18272	40845	     	27566	21962	29296	54908	 4297	40838	35982	30538	
  4		13519	33907	34261	 6927	41665	42884	     	18918	19338	16412	45329	45176	30571	46777	34791	27203	11412	17854	50346	   46	45255	22064	
  5		 6578	12455	51294	57227	58120	31115	56421	41423	17993	20387	52912	37559	     	23072	     	14073	48584	 9032	     	15314	50641	35438	
  6		 9188	 2698	29512	     	59764	43484	     	13940	44915	 1248	53866	24140	48417	16142	53173	     	14199	41334	10952	22391	 8721	13284	
  7		29551	28618	37701	44208	15754	26653	 1164	36575	50473	27075	57453	24553	56917	 6517	31469	26775	20625	47953	49476	54944	     	     	
  8		48197	35947	 5836	58473	16189	18014	12307	14150	21154	     	57885	 5267	 7393	 7256	 7407	     	57016	     	29743	57773	24270	43537	
  9		48780	54271	18784	     	22546	14757	24734	57795	59279	31985	50219	48837	20797	27671	41990	32226	     	23862	29410	     	28561	58053	
 10		58995	12145	     	     	20119	  502	40993	 2818	   72	58194	 8668	     	30891	14567	44979	27024	40660	25579	17135	40440	57677	14667	
 11		22977	58639	     	36957	     	 8612	38281	49680	30783	15403	54416	27614	38018	 7969	16504	10667	19973	49628	41738	39945	38374	 7131	
 12		52154	21691	28269	55118	38747	53341	45770	43339	24543	 9981	51800	16399	 8227	 8036	37986	31314	44496	     	 4968	21019	45725	43256	
 13		53335	 8689	55415	24311	55235	     	17605	11694	56042	10620	35341	37524	 7437	28947	25306	     	27895	 8843	17014	54991	 6574	33375	
 14		42636	15691	10571	22366	37084	 4965	14348	29675	55730	44717	57850	16513	56215	49017	49255	40350	19137	29671	    0	52960	 4067	13229	
 15		40562	27579	     	54277	     	21738	44416	48231	30357	38423	40325	35650	14233	12584	42227	     	25552	16025	21819	45138	48944	 9219	
 16		     	28840	 8719	  454	24901	 9473	41041	30955	13274	 1389	 4778	 9428	18980	41648	43730	     	52042	45928	16089	18323	46853	59744	
 17		29008	41153	37018	15749	 2801	34843	15850	 1255	 6707	20412	28696	59579	 4753	32414	36910	 9275	42463	58599	57382	45600	     	24357	
 18		22555	31858	22667	14219	39035	59891	31362	36017	48896	59757	 8954	17469	     	27066	30408	     	30272	 9061	36637	23198	49957	39125	
 19		32548	57869	51414	20705	29226	39994	     	11035	59654	24927	     	 1624	51437	     	19696	 2504	14893	53194	38854	23202	11779	32574	
 20		23014	35418	23499	23907	 7465	36824	 9601	30841	21495	28924	 2517	55846	23523	44531	34390	45143	27910	12763	39826	11653	43591	47821	
 21		 4144	24642	12468	47426	16954	53395	 7921	57146	18149	48149	 8539	52503	35507	  834	39849	56864	 3960	15748	     	43951	     	32198	
