   		    0	    1	    2	    3	    4	    5	    6	    7	    8	    9	   10	   11	   12	   13	   14	   15	   16	   17	   18	   19	   20	   21	   22	   23	   24	   25	   26	   27	   28	   29	   30	   31	
  0		48576	48264	24391	19031	18526	13270	45080	57034	43836	33529	 8829	42364	 4352	     	 2583	17422	44575	     	34182	59313	19376	30786	20300	17333	     	50353	 6541	34861	51245	47368	     	30614	
  1		55317	56925	18886	21729	33176	28840	     	55198	28011	  414	34641	33304	23780	     	46961	59337	28777	19846	39615	47521	52713	12204	55453	44456	44306	41758	50412	30955	23567	46178	46060	11431	
  2		46634	22240	45222	56711	40279	18523	26053	35304	48515	33423	24947	 9447	37111	30544	31989	27158	29849	37646	53613	19436	18564	24784	24809	14016	17882	     	59700	     	41197	27169	25174	47028	
  3		35084	42815	22475	26324	     	36257	30670	27000	45022	58759	58959	23036	33758	 6432	43962	 4744	29123	59759	55556	 9210	 2298	48045	36751	17256	27571	37586	     	58290	     	 8705	     	39383	
  4		25105	13193	     	35580	13065	18714	 7057	19957	51459	 7423	44027	44998	47629	18666	11167	 2967	31326	10470	 9354	44059	37737	     	32706	 3635	  985	42618	     	26063	14996	16132	55282	 2423	
  5		30504	 8912	 8655	29352	24032	17861	19318	28954	51223	12495	     	32351	     	26963	     	23196	59389	22415	34580	47977	48526	12040	59640	20740	 1882	21050	33767	14627	47339	20074	21059	52634	
  6		59116	50796	47575	18450	  500	     	20077	 2864	55568	 3932	13140	12970	53907	59208	23825	59886	54961	53479	33195	  619	     	19126	 9724	51439	22312	 1828	40981	54165	47789	28928	18682	48602	
  7		42557	10287	13968	53730	22435	32693	     	50715	40735	 8436	56959	     	23524	42954	     	23446	19567	56732	58784	19291	33208	 4403	25312	18280	12503	 2426	46897	29763	     	37055	12608	47349	
  8		20242	16678	14279	31914	10590	19993	54297	26367	25885	32760	 2394	50364	57714	     	45197	     	59439	12441	 4901	 1304	34058	28099	44171	33323	30217	18652	44204	39477	 3732	28461	 6716	52581	
  9		 3654	20310	 5522	57557	42992	42149	20386	 8864	27863	42516	     	16283	 1500	   84	21397	 1978	28902	     	 9980	58532	31287	48160	24208	54219	21315	42568	14839	11501	46464	28421	39758	55873	
 10		48734	46366	25280	 2331	 4067	37414	41881	 1580	46751	16520	48531	15422	29139	59231	15905	12985	19485	50682	44761	 7126	 8632	12408	28626	23079	 4982	47862	46437	23633	  303	56405	46612	15165	
 11		24909	33411	 9790	22407	29601	     	15326	54226	40373	52817	22192	52749	56443	30587	14112	56821	35829	44449	48260	47660	46157	52754	54913	15582	59741	     	37823	13715	46999	33696	     	 7898	
 12		     	  522	18298	58834	21842	46778	  656	30764	34669	 9549	58447	46788	43036	35536	14594	54859	     	17028	50852	38170	38355	     	38763	57723	34767	     	28127	 8686	16450	14654	 9531	52629	
 13		50095	28282	59096	 2308	45283	18176	26177	  840	 8671	36030	39476	23257	     	59049	38458	36563	41924	 3922	28073	57244	51050	26070	35058	43769	    0	48981	59495	40803	33969	 3011	34202	14538	
 14		53878	29263	55201	53306	35101	44620	10695	56461	     	36478	52355	     	12524	49346	44043	55777	  853	53995	21660	33120	18693	39865	19853	48591	38428	 5215	18078	18842	     	42517	11759	  807	
 15		57918	     	16247	35431	53906	52616	48418	48277	22021	58586	35965	51252	23729	45780	27317	 8637	41539	51773	30253	56291	     	58378	52395	11766	15180	     	56799	     	 3324	  476	50295	46849	
 16		23248	     	47008	30604	 9896	32863	43112	55551	23074	 5479	48361	28108	50444	 9797	21435	50376	58194	27966	36317	23549	 7355	42856	48762	13845	46982	 8169	58337	12158	     	10645	 1470	43752	
 17		18249	44821	45153	10213	43826	37078	54014	46823	     	20365	     	35786	     	 1009	     	18100	 6670	14200	     	 3504	15038	47878	21180	24320	     	 5393	  377	46275	19093	 9675	49478	32824	
 18		47260	37578	23293	32506	40402	28581	52209	42326	     	 9920	 3341	58314	42667	30379	     	     	     	31551	22184	42409	30024	35675	52693	     	27624	51901	45142	35470	22456	27596	     	18617	
 19		41314	13179	40654	 9624	55284	     	     	48412	     	27715	41911	14835	33192	15696	33241	     	41390	46485	53203	33644	 3797	31293	18963	45810	 6494	43519	13143	38242	22631	14175	22384	53126	
 20		28861	19652	12512	22123	49334	 5053	51142	 3152	58739	16585	 8667	 2301	   19	18452	50436	52280	21702	     	41800	13096	16569	48680	45950	 1684	53789	45721	29512	21676	58835	47600	36325	26589	
 21		     	24375	     	55858	53408	55289	     	48631	19333	37738	41972	 5749	13262	43107	 2105	36686	26026	28559	58302	48056	     	10049	41429	37462	18132	37678	40307	36265	11706	  655	50899	14648	
 22		48545	15225	     	     	37463	26977	     	48747	33260	46702	 3271	17769	41664	50675	50425	     	22652	14111	43178	26614	17311	10355	56404	 3851	 6176	31309	56245	45832	15017	55965	22108	56810	
 23		37319	20002	41935	29805	21166	59342	10325	 2361	59540	 5292	10003	56584	54596	12997	     	     	48575	20699	 4808	12172	 2845	49102	44969	 4633	11881	     	21172	 4459	17695	56378	23889	35796	
 24		15731	45980	39034	46223	30252	19472	59304	30457	19547	54623	33277	26164	 1645	34055	49086	52547	 3126	 2555	  768	53103	58327	34255	34563	37302	54336	34570	 8132	53266	19228	50898	49360	46936	
 25		16207	43630	30661	33041	10858	 5568	54214	     	19794	47029	     	45219	40939	     	45473	46289	34868	12221	     	28535	57746	17597	 3026	43464	19955	  336	32214	11589	39175	20432	25518	17314	
 26		29620	 9749	57697	11616	 2866	48997	23918	36908	35892	53922	38130	35854	32406	17351	 8156	43644	44209	     	26402	     	20151	41342	59546	14576	27192	47623	     	     	57435	23569	21156	37671	
 27		40802	 2116	26756	46376	57700	36272	21819	     	18264	17520	     	20672	12249	37653	12656	20619	 9615	 7482	12908	     	19781	43762	     	53330	12406	45745	27976	30477	 9752	34786	     	28717	
 28		19451	  193	22794	26202	 5408	50251	16966	25419	51349	54779	40748	 4515	33177	47775	39604	22325	42321	28536	17734	17793	 9114	46081	33292	43801	22646	44572	46947	     	32166	27913	27196	32211	
 29		11558	11505	59225	42713	45861	25975	15401	     	56423	11826	57693	12404	37377	57376	17907	43542	 3840	29388	     	42732	 1912	29274	42274	     	18786	 7454	     	58933	  764	20296	     	21073	
 30		 1543	12772	37009	44454	     	  550	 8616	19220	59431	33399	     	49500	56227	  203	59035	46767	25679	29952	38678	 5475	  549	25753	 5483	44148	14089	55369	22459	36283	12294	55630	56624	11768	
 31		39952	     	28000	     	18405	48647	18475	 8324	     	22621	59133	     	 2043	53751	     	19881	35252	54577	     	41654	27849	     	19325	33294	     	41905	55582	34175	49099	38033	42224	19631	
