   		    0	    1	    2	    3	    4	    5	    6	    7	    8	    9	   10	   11	   12	   13	   14	   15	   16	   17	   18	   19	   20	   21	
  0		46359	36713	57815	55687	  551	     	57947	18622	45972	     	 4920	53941	27260	50910	 2741	15449	33669	38334	45924	55973	16223	13254	
  1		35389	 2484	55273	52742	24979	     	     	     	32856	42017	38432	11285	15982	30044	24348	 2177	13260	     	25553	56205	40578	     	
  2		15736	17675	 1410	31987	32226	39533	24577	19186	32950	23062	27525	18313	33792	31578	49709	 8500	     	30654	57321	48744	59870	     	
  3		28268	 4612	40704	   29	18359	12979	56731	48154	51516	37504	     	 6728	  405	     	58638	42399	     	33750	  452	59804	 8339	29981	
  4		31526	24300	19389	 2327	37247	19469	39748	29516	46281	 3058	48104	17970	41512	22774	32271	  876	 6469	54594	 5687	18962	38745	36838	
  5		52969	48967	43625	22596	30269	54082	49030	37935	17114	 1092	15737	25150	 2657	36855	     	     	57785	26928	33691	22681	38871	49575	
  6		     	     	33622	53659	39046	57925	52922	48370	48637	  556	44489	57329	35101	 1670	47135	33879	43631	 9057	38173	28359	41009	 4930	
  7		26629	57741	35293	47726	 9481	32576	 1909	25277	 4333	45358	 6949	47073	     	31743	50960	23297	19909	17368	43533	39230	 4688	26424	
  8		47899	  307	40729	26907	14874	26548	 1924	20558	  664	36933	32688	     	39279	  228	     	13173	40973	36167	     	36279	     	41367	
  9		10653	58536	48081	49925	44639	     	24772	26241	20557	36602	19169	 7927	 1306	45370	15382	     	11712	 4961	     	42206	16213	28278	
 10		 2478	36419	33875	37731	59864	50198	 8743	37267	35307	     	50018	39316	16870	40895	56065	13825	 8771	13731	59305	27810	     	     	
 11		28840	11768	44155	50530	35774	11603	51598	28690	 7501	 7274	     	25884	     	29068	     	27469	30474	25878	 1960	41476	59349	26248	
 12		17161	23579	52531	     	 8087	44329	45654	15184	29609	31940	 9935	 2042	41423	42858	33261	13272	     	23826	35106	35476	13589	56619	
 13		22390	 9603	52997	27158	51164	23035	10726	15388	30537	40135	     	 3395	26545	 4432	14159	  375	13131	21589	 8617	     	52325	24898	
 14		44085	33409	10949	42782	57234	    0	33571	57266	 2974	39935	 5392	     	20102	45242	30982	35858	57063	59523	37421	     	 1080	21900	
 15		51868	46531	24563	  217	 8106	 7565	27065	     	44368	57647	     	 8849	12290	17438	49215	37190	28876	46333	 1999	30621	29036	35872	
 16		 2695	29349	19496	     	21874	38858	58141	10397	43573	47445	 5634	14033	50690	42337	24949	11461	56224	29761	18492	50415	21097	24137	
 17		16488	 3877	43930	56052	59163	20934	24263	22095	20440	44823	14710	16823	54705	41084	21547	  475	24614	38335	25292	 4042	  376	     	
 18		30823	34873	20970	35506	     	     	 2829	 8916	28897	49534	12210	53773	 3502	 1540	58904	53687	48505	48001	     	34150	51026	12954	
 19		47313	56105	40784	57759	 6487	58354	51693	13092	25707	48084	49312	 5317	12080	26851	     	17561	27595	 5729	40007	33457	46202	51462	
 20		42362	     	49211	24870	41239	49794	27413	30454	41654	33563	39011	35797	30485	28423	 1029	12855	16676	     	44655	29781	13003	20455	
 21		 2608	17295	 7626	     	33709	46321	49127	59258	34519	     	36628	45345	51861	 7699	13832	15661	47402	34941	 6373	46902	13667	34609	
