   		    0	    1	    2	    3	    4	    5	    6	    7	    8	    9	   10	   11	   12	   13	   14	   15	   16	   17	   18	   19	   20	   21	   22	   23	   24	   25	   26	   27	   28	   29	   30	   31	   32	   33	   34	   35	   36	   37	   38	   39	   40	   41	   42	   43	   44	   45	   46	   47	   48	   49	   50	   51	   52	   53	   54	   55	   56	   57	   58	   59	   60	   61	   62	   63	   64	   65	   66	   67	   68	   69	   70	
  0		12401	56245	38154	 9280	12417	22577	13068	 7201	22903	 3041	47876	30602	26697	41010	28116	15133	28677	46357	 4311	53545	26918	 4527	45079	20926	 3560	53761	48720	 5969	41488	47459	38046	 1023	11865	14699	21000	41845	37288	 3029	48268	24702	42517	27745	29870	31008	42341	56531	13987	52362	49831	58503	35591	31681	34260	40718	28730	39124	     	51574	 5499	19675	58555	12605	 5717	10569	17623	58982	46889	18457	59870	16216	48660	
  1		57987	 4212	16885	 5745	 4376	47931	20872	52065	43573	36002	 7816	33533	38062	59307	 9143	29692	53081	25576	45069	18532	28979	22166	28556	21863	25633	23016	15311	18653	 4055	20981	13153	25734	47138	 7982	40775	56351	 5100	 5978	31546	16069	28490	22585	40288	44261	46320	54210	14969	46503	58140	 8906	49753	20712	53819	14498	 7929	 9215	24338	17942	 1988	 3963	55404	36470	18276	33518	 7057	47448	22959	22896	     	44649	27032	
  2		42691	35774	44838	39307	36749	14592	27244	52459	22793	21578	 2639	   60	39453	39311	26441	54003	50350	13360	26943	41353	54184	43870	47364	18747	 3536	53527	 6957	14631	20049	59474	14594	34100	16541	25107	49480	55833	 9957	40644	24413	49968	15191	 7571	59380	16001	12089	36579	56178	31867	45746	  527	18391	58671	 8343	45165	40969	35226	 7948	58058	35891	     	28196	18246	16646	14033	18040	52344	42826	 1590	46621	24322	25595	
  3		58928	 2849	41293	51345	19503	52189	27376	23374	17873	 3141	30539	54362	28723	16600	11019	 3005	17597	24714	54118	 8996	31840	 4882	37785	30115	12041	36846	 6149	15318	48781	17021	46103	10850	  355	29473	49560	15456	54416	47201	51152	15778	40625	25162	26896	44232	21871	30352	58251	50718	 2990	44661	19707	43308	 6948	 6440	40443	18706	 5676	35654	48576	11032	17176	 8010	36330	19943	53796	    0	 4873	30518	35313	24404	34253	
  4		48747	 7033	22174	16989	24437	15691	 4844	49519	47022	29819	54695	14800	50602	12977	45001	22474	11595	 5537	31297	32424	 5509	 9157	28610	20762	 1551	17738	10115	27535	29382	39146	 1603	 2952	13350	 9700	52227	28842	12963	 2746	18252	43450	53841	46366	59060	17882	46108	27957	 9862	48663	45221	56704	34733	47985	53618	     	32038	22460	 6010	20630	57192	56873	55293	28385	33304	23040	39008	34196	39196	 9186	14575	59607	20033	
  5		58390	52788	 9205	 3994	43546	31831	40320	16938	28501	14308	50716	23149	26265	 6599	27837	33668	28350	24146	 7272	28498	46404	33786	34140	38649	39526	20334	15338	  755	 4536	47665	39327	11241	39087	34874	47237	15654	  545	32155	45177	16306	21832	 4363	48140	32938	41938	57561	 1336	 2968	12086	45331	 5026	55929	46970	37748	18735	42789	 1576	48160	33727	 6691	11779	 2792	55237	48392	 9693	44606	11754	32487	     	     	54404	
  6		11407	     	44872	59293	32728	   99	51179	44095	36488	50495	56712	20272	37369	 1352	25656	16782	38402	45327	48305	58461	 7325	36336	34869	11940	58530	42128	 8622	 6218	18486	 2351	 1401	57562	43460	58672	17874	39177	50206	45294	35586	44012	41705	 7384	47323	28925	12783	 8818	41025	32570	41108	 9257	44385	 2019	25395	29055	34802	56790	 1942	54317	44888	 4393	50138	 4945	32999	19224	24889	49186	43877	44411	  225	32167	49686	
  7		55449	 1162	50549	23740	41029	44754	31718	14251	58917	10825	35364	31541	 4848	19654	39091	39126	24977	17270	39628	51211	19324	18476	10320	30222	34300	 6937	28213	 9381	 8517	46006	19050	 8998	 5700	27050	50417	43831	41074	26050	27701	51873	34591	56881	34107	31394	53647	 6214	17603	     	13985	11787	43258	26857	42186	48429	55892	35898	29408	33097	28619	18011	52751	40879	18506	 8337	19889	51278	 4342	14857	19228	39680	34305	
  8		 6036	59712	29421	26097	 1513	14174	17105	35971	 2483	33747	39407	53353	 8257	45089	21539	38351	 3445	54916	45114	52205	24382	58871	48638	31371	45308	42095	59867	53992	24174	39496	56883	45553	17774	 2481	34248	12151	18598	12145	32382	13946	23987	54583	11905	35652	56854	 2361	21893	45369	53847	55026	 6964	38556	19622	36463	     	56394	25581	 8197	46340	37525	40151	26693	11975	33019	45264	 9375	17609	45492	30449	12011	27925	
  9		30940	36390	11948	42781	 5750	 5401	32822	59833	51326	 5704	 1541	11303	54180	50719	 6945	18873	22177	14573	19579	11773	13167	23178	27908	19359	34691	58856	 9369	36995	21510	 9265	11969	35376	20223	19727	18949	23579	40378	39553	15089	55941	59199	59628	30672	18253	47941	15093	31960	48571	28742	57390	  977	56330	29049	33680	24843	58343	22626	28559	47041	43093	15230	13388	 2873	23088	18556	35342	13036	45785	58603	50844	27563	
 10		  394	 6641	32321	32592	25762	25695	43923	25277	56877	43973	15255	44186	22044	53504	 6973	21803	 4927	     	28112	40156	54669	24892	14422	42013	26720	48506	15876	23279	46160	18726	 8395	 4720	50730	27732	46986	50557	55576	21519	 4676	35569	 3080	 5522	23809	44230	56857	10479	23591	44936	16552	47277	49043	28369	30731	21468	 8680	26249	57909	52151	 4041	26505	 8579	57998	18299	46049	22406	24278	56170	36533	43089	15192	 4971	
 11		     	 8614	22671	29608	42579	38288	54828	 1820	33074	33434	44348	     	26063	29221	 2636	41111	14148	59061	 5086	29368	27448	 3861	 7533	 1391	21314	44413	17721	12626	44344	37320	14185	37615	 1138	39685	 8651	16662	55973	20097	 9206	57627	10572	15905	38607	33287	20326	39034	52606	32220	47686	 7219	  161	37911	 3531	30447	46387	 9027	58080	29937	44314	17042	12829	51190	59944	48938	48299	33225	49664	43646	27152	38071	  209	
 12		46909	50959	44367	34848	  736	17173	43612	48316	55515	22558	28275	13487	58318	58862	50127	36645	27466	14454	58095	34043	15000	45655	33008	 2404	27278	41953	59047	21675	 5192	29860	20582	17831	 5495	53283	10659	44940	58752	53424	32924	15293	52486	39510	12862	10246	25722	 6200	 5419	57826	10092	29416	 7078	14417	59130	 2138	 5181	  228	48330	28142	44505	41139	34959	18809	41817	42236	54069	19868	51220	28870	27757	 1663	 4435	
 13		53179	15339	53343	46823	31906	25171	 3792	21188	14596	  612	34165	12694	47553	44712	 1989	41032	10158	55535	16310	33102	56556	52156	54304	23371	37034	22587	38399	44597	28533	10899	25903	47870	39178	21690	 3287	56745	24032	 9349	20965	15728	12447	28424	51025	37463	17065	57393	16906	29833	10645	24924	30185	21272	51271	52702	15152	 9472	55846	28577	23304	46511	57569	45138	27145	48468	52475	42903	46488	49284	55616	56302	55019	
