   		    0	    1	    2	    3	    4	    5	    6	    7	    8	    9	   10	   11	   12	   13	   14	   15	   16	   17	   18	   19	   20	   21	   22	   23	   24	   25	   26	   27	   28	   29	   30	   31	
  0		48576	48264	24391	     	18526	13270	45080	     	     	33529	 8829	42364	 4352	     	 2583	17422	44575	18916	34182	     	19376	30786	20300	17333	43015	50353	     	34861	51245	47368	 4139	30614	
  1		55317	56925	18886	21729	33176	28840	 8452	55198	28011	     	     	33304	23780	41914	46961	     	28777	19846	39615	     	52713	12204	55453	44456	44306	     	     	     	23567	46178	46060	11431	
  2		46634	22240	45222	56711	     	18523	26053	35304	48515	33423	24947	 9447	37111	     	     	27158	29849	37646	     	19436	18564	24784	24809	14016	17882	 5892	     	32601	41197	     	25174	     	
  3		35084	42815	     	26324	 2942	36257	30670	27000	45022	58759	58959	23036	33758	 6432	43962	 4744	29123	     	55556	 9210	 2298	48045	36751	     	27571	     	     	58290	 3041	 8705	24935	     	
  4		     	     	56939	35580	13065	18714	 7057	19957	51459	 7423	44027	44998	47629	     	11167	 2967	31326	10470	 9354	44059	37737	24588	32706	 3635	  985	42618	16236	26063	14996	16132	     	     	
  5		30504	 8912	     	29352	24032	17861	19318	28954	51223	12495	55664	32351	49943	26963	     	23196	59389	22415	     	47977	48526	12040	     	20740	     	     	33767	     	47339	20074	21059	52634	
  6		59116	50796	47575	18450	  500	29690	20077	 2864	55568	 3932	13140	12970	53907	59208	23825	59886	54961	53479	33195	  619	 7093	19126	 9724	51439	22312	 1828	40981	54165	47789	28928	18682	     	
  7		42557	10287	13968	53730	22435	32693	30910	50715	40735	     	56959	23921	23524	42954	55724	23446	19567	56732	58784	     	33208	 4403	25312	18280	12503	 2426	46897	29763	32648	37055	12608	     	
  8		20242	16678	14279	31914	10590	19993	54297	     	     	32760	 2394	50364	57714	33403	45197	51325	     	12441	 4901	 1304	34058	     	     	33323	30217	18652	     	     	 3732	28461	 6716	52581	
  9		 3654	20310	 5522	57557	42992	42149	20386	 8864	     	42516	32686	16283	 1500	   84	21397	 1978	28902	 6598	 9980	58532	31287	     	24208	54219	21315	42568	14839	     	46464	     	39758	     	
 10		48734	46366	25280	 2331	     	37414	     	 1580	46751	16520	48531	15422	29139	     	15905	12985	19485	50682	44761	 7126	 8632	12408	28626	23079	 4982	47862	     	23633	  303	56405	46612	     	
 11		24909	33411	 9790	22407	29601	39939	15326	     	40373	52817	22192	52749	     	30587	14112	56821	35829	44449	48260	     	46157	52754	54913	15582	59741	     	37823	13715	46999	33696	30645	 7898	
 12		46243	  522	     	58834	     	46778	  656	30764	34669	     	     	46788	43036	35536	14594	54859	17546	17028	50852	38170	38355	 5505	38763	57723	34767	20912	     	 8686	16450	14654	 9531	52629	
 13		50095	28282	59096	 2308	45283	18176	26177	  840	 8671	36030	39476	23257	49302	59049	38458	36563	41924	 3922	28073	57244	51050	26070	35058	43769	    0	48981	59495	40803	     	 3011	34202	14538	
 14		53878	29263	55201	     	35101	44620	10695	56461	56302	36478	52355	     	12524	49346	44043	55777	  853	     	     	     	18693	     	19853	48591	38428	     	18078	18842	18307	42517	11759	  807	
 15		57918	25952	16247	35431	53906	52616	48418	48277	22021	58586	35965	51252	     	45780	27317	 8637	     	     	30253	56291	16258	     	52395	11766	15180	 3518	56799	     	     	  476	50295	46849	
 16		23248	17740	47008	30604	 9896	     	43112	55551	23074	 5479	     	28108	50444	 9797	21435	50376	     	27966	36317	     	 7355	42856	48762	13845	46982	 8169	58337	12158	17486	10645	 1470	43752	
 17		18249	44821	45153	10213	43826	     	54014	46823	 8566	20365	13786	35786	42711	 1009	10534	     	 6670	14200	11619	     	15038	47878	21180	24320	32337	 5393	  377	46275	19093	 9675	49478	32824	
 18		47260	37578	23293	     	40402	     	52209	42326	 6297	 9920	 3341	58314	42667	30379	     	27404	     	31551	22184	42409	30024	35675	52693	     	27624	51901	45142	35470	22456	     	48446	18617	
 19		41314	13179	40654	 9624	55284	 6999	20243	48412	21221	27715	     	     	33192	15696	33241	55182	41390	     	53203	33644	 3797	31293	18963	     	 6494	     	13143	     	22631	14175	22384	     	
 20		28861	19652	12512	22123	     	     	51142	     	     	16585	 8667	 2301	   19	18452	50436	52280	21702	26116	41800	13096	16569	48680	     	 1684	53789	45721	29512	21676	58835	47600	36325	26589	
 21		 4561	24375	37627	55858	53408	55289	39483	48631	     	37738	41972	 5749	13262	43107	 2105	     	26026	28559	58302	     	33144	10049	41429	37462	18132	37678	40307	36265	11706	  655	50899	     	
 22		48545	15225	 4631	54252	     	     	58046	48747	     	46702	 3271	     	41664	50675	50425	25494	22652	14111	43178	26614	17311	10355	56404	 3851	 6176	31309	56245	45832	15017	55965	22108	56810	
 23		37319	20002	     	29805	21166	59342	10325	 2361	59540	     	10003	56584	     	12997	10898	53984	48575	20699	 4808	12172	 2845	49102	44969	 4633	11881	     	     	 4459	     	     	23889	35796	
 24		     	45980	39034	46223	30252	19472	59304	30457	19547	54623	33277	26164	     	34055	49086	52547	     	     	  768	53103	58327	34255	34563	37302	54336	34570	 8132	53266	19228	     	49360	     	
 25		16207	43630	     	33041	     	 5568	54214	51167	19794	47029	21834	45219	40939	21634	     	46289	34868	12221	     	     	57746	17597	 3026	43464	19955	     	32214	11589	39175	20432	25518	17314	
 26		29620	 9749	57697	11616	 2866	48997	23918	     	35892	53922	38130	35854	32406	     	 8156	43644	44209	38805	26402	52263	20151	41342	59546	14576	27192	47623	17195	59968	57435	     	21156	37671	
 27		     	 2116	26756	46376	57700	36272	21819	20958	18264	17520	45010	20672	12249	37653	12656	20619	     	 7482	12908	 7086	19781	43762	15350	53330	12406	45745	27976	30477	 9752	34786	18400	28717	
 28		19451	  193	22794	26202	 5408	     	16966	25419	51349	54779	40748	     	33177	47775	39604	22325	42321	28536	17734	17793	 9114	46081	33292	     	     	44572	46947	26046	32166	27913	27196	32211	
 29		11558	     	59225	     	45861	25975	15401	 2707	56423	     	     	     	37377	57376	17907	43542	     	29388	23649	42732	 1912	29274	42274	 3757	     	 7454	27290	58933	  764	20296	18592	     	
 30		 1543	12772	37009	44454	20374	  550	 8616	19220	59431	33399	 4929	49500	56227	  203	59035	46767	     	29952	38678	 5475	  549	     	 5483	44148	14089	55369	22459	36283	12294	55630	56624	11768	
 31		39952	41321	28000	58797	18405	48647	18475	 8324	58918	22621	59133	 8590	 2043	53751	51649	19881	35252	54577	16323	41654	27849	17988	19325	33294	52638	41905	55582	34175	49099	38033	     	19631	
