   		    0	    1	    2	    3	    4	    5	    6	    7	    8	    9	   10	   11	   12	   13	   14	   15	   16	   17	   18	   19	   20	   21	   22	   23	   24	   25	   26	   27	   28	   29	   30	   31	   32	   33	   34	   35	   36	   37	   38	   39	   40	   41	   42	   43	   44	   45	   46	   47	   48	   49	   50	   51	   52	   53	   54	   55	   56	   57	   58	   59	   60	   61	   62	   63	   64	   65	   66	   67	   68	   69	   70	   71	   72	   73	   74	   75	   76	   77	   78	   79	   80	   81	   82	   83	   84	   85	   86	   87	   88	   89	   90	   91	   92	   93	   94	   95	   96	   97	   98	   99	
  0		17313	 8246	20454	 1467	     	13373	58004	10561	27203	17782	 7741	 2456	     	27160	     	56223	11081	16880	27219	53978	35226	31490	34319	45414	44691	12602	38148	     	14327	21820	 6476	48298	24353	16352	46673	     	52942	47808	47168	15517	48644	42549	     	43894	33968	     	16451	34609	33800	     	54112	47646	33561	54008	44524	55048	20034	22707	     	51610	46903	45756	21791	40476	     	17504	     	57881	52673	 8380	56864	43612	54031	47130	46083	59603	48180	     	     	     	29962	37270	13935	13176	31734	47749	38005	 4089	 2536	23272	45639	 1714	50452	12807	52124	15332	36330	22408	 3536	18774	
  1		35281	16485	39885	18308	39355	26982	30394	46535	16374	57664	26084	21794	22162	10000	17803	     	11538	     	30252	40586	33082	     	26533	29883	47439	39645	20409	56315	30972	     	 4935	     	41540	35202	58840	28705	30101	39701	52425	58873	     	10522	49941	53908	     	     	39809	18844	     	 6821	37779	50424	     	     	26326	18617	44063	33042	36939	 6742	55956	58473	41838	44521	52606	55917	36353	10284	19748	57422	52549	55256	26330	27314	32251	55231	14781	18768	38627	28079	 9765	 5345	     	33633	51986	25317	 4662	     	12344	22255	27116	28895	28352	25760	23816	18447	35581	19191	33863	18167	
  2		58519	29719	32761	     	13651	38155	 4713	36366	26705	11394	43755	 5899	19859	58891	     	     	22197	53524	     	 4622	29854	     	28861	39907	22205	32362	27605	53034	42881	     	38536	18456	57455	20110	57199	29628	     	21433	31163	30538	 9660	58204	43557	34339	     	29089	 7246	58852	     	54703	16622	22208	16297	27867	52514	 1403	55143	59829	16154	58381	34507	     	32975	46444	53207	11002	 7638	28232	 5511	46020	 3375	 9947	58663	19112	30081	33673	35150	25587	30830	 7297	31043	23346	     	53483	37271	17744	45107	57649	22165	27177	 9125	34186	57900	58263	24679	15003	36521	 8407	15900	57391	
  3		56973	26770	     	32521	32357	16424	 4516	28224	26105	23310	59862	56437	47196	15061	25724	11698	17576	 4141	11184	     	33203	57973	38759	11567	     	39541	28933	49389	10125	16662	32413	54015	 1881	49524	52474	     	32995	59790	13845	40797	     	 3045	12695	     	26784	29829	10958	59801	47403	33532	56599	 3493	57278	19146	35619	31540	 7296	42155	 5649	     	39702	  898	     	17844	23667	     	19280	38504	 5814	49312	39496	  475	14713	     	     	46290	30315	15939	41658	31238	 8494	 7081	33653	18676	23747	56382	54743	  697	56600	     	11972	26088	     	24481	51395	26212	30963	42046	33379	20372	
  4		10232	  536	     	52471	46779	35164	28939	     	43984	40026	59838	43045	     	32644	48538	56524	59239	36768	58270	19921	     	47590	31850	31794	 6452	     	     	30350	     	 2791	58304	 3578	41702	     	44721	     	23758	10808	19452	     	 7992	40111	40585	49056	     	10909	 3064	49919	 5534	29229	35681	11494	51095	39099	55521	 2185	     	11618	55844	 3490	11298	 3913	15209	18753	 5171	30589	57666	 7815	     	 5592	 8941	     	22176	12242	55030	34482	22754	42440	     	     	14406	     	20905	33581	17462	     	     	55596	52861	 8221	51459	55846	49502	29895	36793	     	56160	21748	     	 6126	
  5		     	     	53960	34916	 6875	48894	50132	47982	32849	56554	14791	 6302	33630	 1934	     	20024	57017	19528	29933	12018	     	13811	     	     	42494	13381	38996	54618	44807	     	  641	55078	19666	     	 9199	50015	59173	31176	14275	40635	24678	43907	 8263	17102	52232	44782	44470	 7397	     	     	26477	21666	57357	 1232	     	37731	51564	 9922	 4723	27266	 3548	35850	     	53036	48149	13467	 3712	42635	42430	25613	 4906	32556	 8735	52913	53542	 5903	39479	20462	     	53715	13547	22426	     	 7566	25497	 9859	 2790	25439	     	22002	22719	 5963	28373	 4813	  474	28882	24301	48851	40035	     	
  6		26035	43362	18841	56664	45501	48111	52622	24373	20263	51198	  428	 1453	46780	54497	 8074	     	     	26526	11826	     	57922	23219	 5075	 5398	14827	33427	 5959	35311	32180	13282	26516	44746	39392	27629	43761	36659	     	46038	     	44617	54231	30257	     	30466	     	17122	57156	23617	     	 4803	     	15581	17742	11377	19897	58603	 5216	 2394	 1135	46656	20233	48665	     	33943	 3688	 8744	23781	39855	49978	26762	56466	34828	16185	33417	35729	 6881	48299	32697	     	25364	12805	     	56174	39150	29355	10822	     	 2046	     	31112	     	30346	55088	25703	47868	 9141	47779	38557	41039	21865	
  7		36051	18610	     	17115	25767	38003	52376	 8799	27236	 7890	 1230	26119	57152	21802	 2535	13966	26317	     	38950	21710	40275	 8125	37512	33050	38674	20297	39104	44694	46844	20575	44408	42958	45511	 2455	33642	48565	39589	34478	49871	 4114	13931	20336	36804	     	     	55931	     	 4308	32695	50698	34195	11310	 5844	 9581	39818	 2862	53038	     	     	30855	 9949	 8014	57869	40815	52018	     	24790	 2406	     	29240	58509	21805	40305	     	14342	 7853	48241	13247	44656	 8334	18074	29184	     	55174	 3856	44226	29809	22787	29250	15062	48588	     	     	     	12506	 3133	     	13923	45947	     	
  8		49067	33918	16384	39297	50823	     	10605	47017	49261	58633	 6243	37177	 3084	13696	56355	 8541	     	 9883	     	24300	21199	     	15179	13862	40322	59984	14597	32764	     	40216	18638	59795	37396	53997	25792	 2486	58140	37760	18680	 6528	23154	30549	49728	52767	     	 6705	23957	37526	30286	33356	56590	50669	32742	55263	22867	22440	46167	41050	 9370	13006	47309	12338	29739	31352	22313	47899	48755	58963	15864	35792	49813	24123	17587	     	12440	     	40682	49047	14163	     	 9393	50975	13079	38455	16601	48504	16665	22716	     	     	 7637	     	     	     	 2030	13110	14049	59272	37557	59646	
  9		19048	22154	     	35320	25714	16826	27017	42216	47530	58469	40292	     	12007	     	32240	32968	13034	18706	10784	41258	20634	42459	49578	18973	     	11639	40344	 9284	     	28689	31766	 7907	46833	     	53961	33004	45631	17386	33339	46857	     	54275	27617	 6049	20088	10828	 6856	49814	14836	     	56832	19369	 6396	 1494	40925	16776	36174	     	     	11010	42769	57265	 4791	47102	20823	     	48525	45824	10519	49497	22180	     	51447	57540	19775	45545	22873	53937	  527	     	15477	34317	54773	 3055	15844	55867	13267	11419	 9650	20438	     	     	     	44700	51305	26518	37032	59462	41271	37501	
