   		    0	    1	    2	    3	    4	    5	    6	    7	    8	    9	
  0		14023	     	13023	29920	25697	     	24271	57763	     	47024	
  1		 9208	41212	19447	     	14153	50961	23897	     	46537	32752	
  2		27116	41343	 5296	     	42160	46133	21535	15276	28500	26777	
  3		24511	29967	13834	48816	20229	    0	 2758	     	     	26422	
  4		     	  813	 2708	42372	26764	 3652	36904	53250	 2914	46317	
  5		52893	16119	30385	10043	48832	43112	19493	13533	37776	 8175	
  6		15281	 1746	58292	52356	44312	39400	19180	     	41007	48020	
  7		22669	44736	27847	14253	54365	 2912	47978	29532	46150	     	
  8		21742	18457	 4981	11259	 8400	     	55507	     	35239	 1112	
  9		32085	46130	37775	 5845	     	24598	10475	29960	19735	     	
