   		    0	    1	    2	    3	    4	    5	    6	    7	    8	    9	   10	   11	   12	   13	   14	   15	   16	   17	   18	   19	   20	   21	
  0		     	     	57815	55687	  551	15195	     	18622	45972	35700	 4920	     	27260	50910	 2741	15449	33669	38334	45924	55973	16223	13254	
  1		35389	 2484	     	52742	24979	53434	47189	 6145	32856	42017	38432	11285	15982	30044	24348	 2177	13260	12996	25553	56205	40578	40413	
  2		15736	17675	 1410	     	32226	     	24577	19186	32950	23062	27525	18313	33792	31578	49709	 8500	32155	30654	57321	48744	59870	40457	
  3		28268	 4612	40704	     	     	12979	56731	48154	51516	37504	     	 6728	  405	37026	58638	42399	45423	33750	  452	59804	 8339	29981	
  4		31526	24300	19389	     	     	19469	     	29516	46281	 3058	48104	17970	41512	22774	32271	     	 6469	     	     	18962	38745	36838	
  5		     	     	43625	22596	     	54082	49030	37935	17114	 1092	15737	25150	 2657	36855	51103	32054	57785	26928	33691	22681	38871	49575	
  6		 6585	42358	33622	53659	39046	57925	     	48370	48637	  556	44489	57329	     	 1670	     	33879	43631	 9057	38173	28359	41009	 4930	
  7		     	     	35293	     	 9481	32576	 1909	25277	 4333	     	     	47073	26061	31743	50960	     	19909	17368	43533	39230	 4688	26424	
  8		47899	  307	     	26907	14874	     	 1924	20558	  664	36933	32688	18052	39279	  228	 8513	13173	40973	36167	13426	36279	     	41367	
  9		10653	58536	48081	49925	44639	     	24772	     	     	36602	19169	     	 1306	     	15382	56068	11712	 4961	41354	42206	16213	28278	
 10		 2478	     	33875	37731	59864	     	 8743	37267	35307	11423	50018	39316	16870	40895	56065	13825	 8771	     	59305	     	32623	41299	
 11		28840	11768	44155	50530	35774	     	51598	28690	 7501	     	32786	     	52715	     	     	     	30474	25878	 1960	41476	59349	26248	
 12		17161	23579	52531	     	 8087	44329	45654	15184	29609	31940	 9935	     	41423	42858	33261	13272	     	     	     	35476	13589	56619	
 13		22390	 9603	52997	27158	51164	23035	     	15388	30537	40135	42272	 3395	26545	 4432	     	  375	13131	21589	 8617	52447	52325	24898	
 14		44085	33409	10949	42782	57234	    0	33571	57266	 2974	39935	 5392	     	20102	     	30982	35858	57063	59523	37421	34626	 1080	21900	
 15		51868	46531	24563	  217	 8106	 7565	27065	10301	     	57647	  789	     	12290	17438	49215	37190	28876	46333	 1999	30621	29036	35872	
 16		 2695	29349	19496	 7844	21874	38858	58141	10397	43573	     	 5634	14033	50690	     	24949	11461	56224	29761	18492	50415	21097	     	
 17		16488	 3877	43930	56052	59163	20934	24263	22095	20440	44823	14710	16823	54705	41084	21547	  475	24614	     	25292	 4042	     	     	
 18		30823	34873	20970	35506	24099	21325	 2829	 8916	28897	49534	12210	53773	 3502	 1540	     	     	48505	48001	42169	34150	51026	12954	
 19		47313	     	40784	     	 6487	58354	51693	13092	25707	48084	49312	 5317	12080	26851	 8921	17561	27595	 5729	40007	33457	46202	51462	
 20		42362	40300	49211	24870	41239	49794	27413	30454	     	33563	39011	35797	30485	     	 1029	12855	16676	38175	44655	29781	13003	20455	
 21		 2608	17295	     	12005	33709	46321	49127	59258	34519	37305	36628	45345	     	 7699	13832	15661	47402	34941	 6373	     	13667	     	
