   		    0	    1	    2	    3	    4	    5	    6	    7	    8	    9	   10	   11	   12	   13	   14	   15	   16	   17	   18	   19	   20	   21	   22	   23	   24	   25	   26	   27	   28	   29	   30	   31	   32	   33	   34	   35	   36	   37	   38	   39	   40	   41	   42	   43	   44	   45	   46	   47	   48	   49	   50	   51	   52	   53	   54	   55	   56	   57	   58	   59	   60	   61	   62	   63	   64	   65	   66	   67	   68	   69	   70	   71	   72	   73	   74	   75	   76	   77	   78	   79	   80	   81	   82	   83	   84	   85	   86	   87	   88	   89	   90	   91	   92	   93	   94	   95	   96	   97	   98	   99	
  0		11916	45301	43882	46731	29493	     	21565	12321	     	47025	11129	35661	31009	28035	37185	 1502	46903	19148	58182	26720	18434	     	15878	51024	 7929	34232	19350	     	53239	 8598	     	29779	15496	54134	22485	12851	13046	55759	 5838	11528	52322	33048	56888	24699	42051	13462	21083	15965	     	55314	40584	29136	33183	59939	26486	19726	22940	 2449	     	 5402	29962	23770	40757	 2636	     	39148	53462	16886	16699	     	59489	29205	21756	48896	44571	     	28025	22142	     	10869	 5246	52612	     	14044	27149	52165	23391	 1610	14874	     	36705	22998	11435	 7275	27246	12261	 1964	37131	34183	     	
  1		40870	48706	42938	10123	59752	37544	18629	16860	49983	29212	49345	 5168	     	37356	39890	38218	34953	20886	 3422	 8672	13925	 8309	55286	     	     	18007	 7081	54151	23260	17993	     	25773	22232	     	11979	59970	49716	55886	55615	 4132	43375	 4920	13674	36842	  961	16716	29945	42317	14821	     	 5686	25725	47678	     	18068	55102	56659	 3932	26705	43617	27794	 6526	19433	42346	44360	57385	  738	     	45556	37939	43818	     	42066	34019	56569	49783	 9886	     	50995	21016	43707	26821	13016	42757	50281	48777	38148	55772	29192	30783	54654	29611	 7434	52741	23198	51247	     	 6299	38884	     	
  2		17876	36263	12162	42363	16050	51948	39337	44216	52352	52047	42172	47193	22448	26664	     	30409	18551	35752	21724	  858	42237	53824	19791	30253	38481	 8123	44037	52670	46315	 6713	39671	58017	43414	37649	26260	 6949	29262	     	38792	38577	25825	14007	 1069	     	 8661	     	     	16809	14421	45040	20813	19136	43814	26843	53234	54201	32155	 6001	28218	     	12054	46857	30194	     	56760	51627	 4427	30084	     	14815	35242	  444	37798	28031	57368	45381	36163	47021	35678	59063	55652	33969	49780	 3310	54174	41638	     	12928	42095	     	44601	59578	18161	42387	42349	     	15653	30932	16056	59510	
  3		23474	     	56255	51714	12359	     	27665	23303	12629	26055	21581	46921	     	25797	52829	53410	     	35634	54756	 4092	41505	22652	43768	     	16381	39633	10473	22000	49163	  541	30257	48969	28743	47295	 5824	40241	30062	52613	38763	58833	21990	49276	40329	22307	     	19392	 4420	     	     	50177	 6465	50732	11004	 2469	11933	33335	 1284	33721	 1897	     	34309	 2080	40221	45500	     	52261	23412	47639	     	58389	34771	54579	17971	47039	39315	50414	27154	57430	11876	58434	41097	12298	     	14629	     	41640	     	48976	47621	     	 7064	32175	     	     	14903	22387	     	28514	16243	48917	
  4		25032	53324	59344	48185	     	     	31501	37073	     	     	     	     	55060	33271	38366	     	57161	53639	25640	18951	28816	 1802	53491	47512	 3474	34776	24614	55024	31050	     	43689	31384	23283	44138	29275	18543	49099	40445	16862	 5284	25055	32559	15069	27374	13089	49306	32786	44012	48998	16830	     	57644	47675	25458	43093	54917	34984	53414	47766	52975	     	 5470	 6909	     	     	49334	 1174	  314	38703	57027	 7473	22805	     	46057	35230	24325	15941	25222	 7723	29401	10236	26284	35409	26675	25226	16380	15211	50512	52223	58338	     	31243	50961	     	36970	41293	30276	18504	25889	     	
  5		39816	54076	56726	51842	48338	33531	21902	     	15779	 6433	56030	16757	     	26921	57481	29366	32772	 3923	11447	22352	49745	     	 4616	55345	 9565	 6739	30699	34323	     	     	23511	44694	     	23555	43669	50418	     	 8889	53686	 3768	14834	56663	     	34392	57973	45735	 4780	27852	21997	35004	59301	34321	 8339	33913	36991	     	27162	     	 9058	52536	59216	34781	23102	55088	12915	14213	31443	     	59387	20473	37077	     	     	53253	32391	     	39095	46772	34407	29590	  796	32492	59826	     	24616	41107	43295	19394	48849	26439	45583	48950	41579	51219	 4926	 8981	36899	10940	19383	52389	
  6		     	38040	 5367	 1976	38520	10670	21598	25227	24621	51099	     	23644	     	     	20389	48501	49377	  599	31536	     	30797	23337	  981	46061	 7235	15034	30984	45009	11795	     	36405	10944	19875	     	30486	51517	11834	55824	19678	 2566	     	33449	54863	45773	34589	52760	58356	33732	11905	     	 1576	53233	46051	34990	51981	44521	     	 8478	 8280	59237	32513	26042	56899	 2223	46778	30087	13583	     	16941	41660	     	     	16482	45271	13841	43298	27026	19536	     	35712	26995	19587	11872	59524	52058	 5614	46117	41447	52030	48591	54789	 6147	54173	23263	56075	54784	10373	     	52485	51905	
  7		16365	28997	     	     	23178	     	   99	22268	47132	10618	     	36957	34353	43767	     	 7776	38165	59329	58852	59846	25306	56415	42204	56064	11369	47522	14346	     	     	21066	15090	17080	41789	 7454	36702	37333	16001	 4662	     	   32	16840	37209	 4900	 7847	49005	52587	35085	16717	50628	41195	39140	10956	59365	37507	55948	32616	     	 8118	     	     	     	17398	 7481	48329	     	14931	59065	48378	     	18636	19372	 1343	49650	25104	37876	17084	     	41501	 3186	51401	54945	15933	 1289	41641	33897	16228	 3249	 6280	 6117	56922	15852	56801	40544	48799	     	 6535	40650	 9176	40841	28145	
  8		54160	 4140	 4619	14010	11059	49672	     	15321	     	19461	 8215	58465	37622	12568	     	     	47483	24393	46779	 9717	11929	43289	48745	22441	23308	18431	10663	     	17148	     	10182	31253	56966	 3386	17290	55791	25249	46930	     	     	31684	12758	     	 1345	 5454	22993	17441	11875	     	28432	16102	 3638	23499	     	33427	 9285	 9463	36597	25204	     	57197	     	28938	56815	29154	51796	25748	 2561	 8993	28005	52758	 6379	30983	53776	10887	 1166	     	15576	37726	24346	25493	55647	26918	31414	   41	 1280	30708	16054	51095	37710	34364	23665	     	 3155	25096	34600	57210	 8684	11238	53982	
  9		30908	39075	26180	38735	 6923	54758	 7654	 2618	53742	31399	50559	24601	36903	16983	56004	12282	     	 3309	22775	42055	17990	38960	23993	 3455	     	25450	 6469	37747	55512	     	11006	16195	20311	 2875	 4886	     	31289	17497	 5556	42046	40642	39491	58336	24053	40609	 3695	 8938	48298	34182	     	51863	     	18557	14781	28699	23521	45592	55373	 2880	21642	45245	15243	33768	16440	     	34682	42487	59262	34509	38313	     	49467	10627	44849	56409	45575	     	41346	49354	10720	11151	18091	33861	22851	17018	 8588	 5522	     	 1788	28786	 7442	 2314	41180	29013	39836	58186	42833	15000	 5633	15601	
