   		    0	    1	    2	    3	    4	    5	    6	    7	    8	    9	   10	   11	   12	   13	   14	   15	   16	   17	   18	   19	   20	   21	   22	   23	   24	   25	   26	   27	   28	   29	   30	   31	
  0		20266	36084	46586	     	 1199	14876	12868	 3445	     	38500	50838	     	55138	17833	     	33351	27936	35083	 3630	24235	54903	19031	27996	12471	56282	36142	38420	     	 1356	23346	15619	 9463	
  1		10472	40763	52368	43026	 2957	44807	     	42129	 4733	26935	     	44707	     	30302	29171	37751	52969	     	 7679	59867	 2205	30322	15500	35909	     	     	11014	31703	 6043	     	24968	21891	
  2		13487	19838	56721	42007	10691	     	 5536	14133	21425	42476	23062	 4550	27644	19209	     	13029	 1044	13317	     	10252	  959	 2769	14014	49428	26058	36472	32532	40081	 5943	46318	52009	49522	
  3		45774	52241	40477	55460	45192	54807	17056	  666	14738	35158	37882	50240	37034	     	35141	     	20303	     	17866	27519	  183	  237	11467	 8729	27494	38618	34038	 4884	35490	30200	26110	23691	
  4		33266	42870	54897	24349	15252	     	 6686	57652	 9982	54423	50605	 4147	24861	57238	25419	32920	11428	38820	35364	     	39921	13605	     	10520	     	41281	46050	30303	38983	 3464	51597	15374	
  5		38185	29685	55179	11717	18577	33869	41210	     	     	     	29655	34643	13789	24581	43610	42963	 2288	   51	16206	18770	20540	49772	59584	25959	31843	     	43553	11565	26335	     	27573	37716	
  6		33955	29012	 4158	46096	47281	     	50702	22314	20339	 4793	16888	44495	28690	16742	39940	39322	49014	53882	     	     	56853	59824	20359	10517	18447	     	     	40925	22847	44353	30075	 5844	
  7		 2316	10523	55685	56535	 4557	     	17402	21860	13389	     	 4688	41234	     	55019	32674	32198	17424	47384	55513	 3327	58268	49996	23466	57383	36949	40632	     	31380	55170	48400	 1038	41624	
  8		 3931	     	     	41065	45657	27086	 3029	40082	 5374	14655	 4924	39986	21400	45198	     	24948	 3847	     	42922	58811	     	54661	     	22513	50463	     	  680	31048	49567	     	22420	26978	
  9		30290	50215	38182	 7879	29854	     	41426	 1555	  704	 4705	10542	58414	45947	     	20917	45819	15204	 7179	49868	     	21015	     	44801	52547	23002	24182	38567	37479	     	58502	54011	     	
 10		39759	     	11641	11395	 4278	28417	54148	59649	44885	22966	 2237	 5097	41051	59878	     	 9434	 7884	 5557	     	52961	49695	32054	     	26945	 1630	34835	     	45725	20939	13246	29339	     	
 11		35545	 5191	     	     	22829	     	40692	21351	10922	44632	  916	     	33049	40202	59208	36160	 7631	36431	59583	 8179	38222	30973	18248	41186	 5983	57249	43519	15533	     	10428	42540	57943	
 12		20772	30337	     	19249	     	42357	18325	     	27690	 6362	     	47427	59538	45837	59290	59636	     	     	51568	44664	43828	13816	35452	43383	40350	46037	12318	10444	26052	59746	     	54283	
 13		25372	     	47765	 9161	28664	13348	43593	34494	58545	29254	     	     	32008	39251	53056	37910	15239	52421	43538	     	33388	 1909	     	20654	     	44765	  148	 2401	 2787	57806	44308	58344	
 14		 2641	35512	28048	     	     	25171	 7482	39483	20697	     	14277	36623	     	12048	53719	55898	 5326	     	21635	     	    0	59921	44893	10040	19719	42510	 7733	     	49438	52036	 1996	36346	
 15		 7123	     	35990	19009	15706	 7376	59647	     	     	     	43213	45828	20429	17500	 4074	10124	 9861	     	58010	 2224	22366	 6381	 5866	 3907	42132	  532	55389	 6638	13094	 5502	37611	46171	
 16		35162	46922	 5134	 2722	38989	 5716	16961	36605	 4445	13966	30579	     	53600	 8128	 5533	38363	21483	 6776	21890	43738	24463	21795	38659	41357	     	59244	23843	42846	42958	22406	 6598	35883	
