   		    0	    1	    2	    3	    4	    5	    6	    7	    8	    9	   10	   11	   12	   13	   14	   15	   16	   17	   18	   19	   20	   21	   22	   23	   24	   25	   26	   27	   28	   29	   30	   31	   32	   33	   34	   35	   36	   37	   38	   39	   40	   41	   42	   43	   44	   45	   46	   47	   48	   49	   50	   51	   52	   53	   54	   55	   56	   57	   58	   59	   60	   61	   62	   63	   64	   65	   66	   67	   68	   69	   70	   71	   72	   73	   74	   75	   76	   77	   78	   79	   80	   81	   82	   83	   84	   85	   86	   87	   88	   89	   90	   91	   92	   93	   94	   95	   96	   97	   98	   99	
  0		11916	45301	43882	46731	     	48628	21565	12321	12433	47025	11129	35661	31009	28035	37185	 1502	46903	19148	58182	26720	18434	52477	     	51024	 7929	34232	19350	58496	53239	 8598	18986	29779	15496	54134	22485	12851	13046	55759	 5838	11528	52322	33048	56888	24699	42051	13462	21083	15965	22354	     	40584	     	     	59939	26486	19726	22940	 2449	44116	 5402	29962	23770	     	 2636	     	39148	53462	16886	16699	52125	59489	     	21756	     	44571	11675	     	22142	 8983	10869	 5246	52612	12859	     	27149	52165	23391	 1610	14874	44495	36705	22998	11435	 7275	27246	     	 1964	37131	34183	24141	
  1		40870	48706	     	     	59752	37544	18629	16860	49983	29212	49345	     	42290	37356	     	38218	     	20886	 3422	     	13925	 8309	55286	41373	36447	18007	 7081	54151	23260	17993	48909	25773	22232	41914	     	59970	49716	55886	     	 4132	43375	 4920	13674	     	  961	16716	29945	42317	14821	 7737	 5686	25725	47678	15405	18068	     	56659	 3932	     	43617	27794	 6526	19433	42346	44360	57385	  738	18444	45556	37939	43818	16845	42066	34019	56569	49783	     	26245	50995	21016	43707	26821	13016	42757	50281	48777	38148	55772	29192	30783	     	     	 7434	52741	23198	51247	 7576	 6299	38884	35436	
  2		17876	36263	12162	42363	     	51948	39337	44216	52352	52047	42172	47193	     	26664	 9654	30409	18551	35752	21724	  858	42237	53824	19791	     	38481	 8123	44037	52670	46315	 6713	39671	58017	43414	37649	26260	     	29262	41954	38792	     	25825	14007	 1069	23612	 8661	20075	 1228	16809	14421	45040	20813	19136	43814	26843	53234	54201	32155	 6001	28218	 6066	     	     	30194	28226	56760	51627	 4427	30084	28245	14815	35242	  444	37798	28031	57368	45381	     	47021	35678	59063	55652	     	49780	 3310	54174	41638	35777	12928	42095	16246	44601	59578	18161	42387	42349	34470	15653	30932	16056	59510	
  3		23474	11214	56255	51714	12359	44366	27665	23303	12629	     	     	46921	16271	25797	     	53410	34269	35634	54756	 4092	41505	22652	43768	50723	16381	39633	10473	     	49163	  541	30257	48969	28743	47295	 5824	40241	30062	52613	38763	58833	21990	     	40329	22307	57280	19392	 4420	24206	25787	     	 6465	     	     	 2469	11933	33335	     	     	 1897	     	34309	 2080	40221	45500	32685	52261	23412	47639	51438	58389	34771	54579	17971	47039	39315	50414	     	57430	11876	58434	41097	12298	     	14629	39796	     	 7571	     	47621	22442	 7064	32175	     	35360	14903	22387	55078	28514	16243	48917	
  4		25032	53324	59344	     	34159	56592	31501	     	30113	40051	 3158	53868	55060	     	38366	13897	57161	53639	25640	     	     	 1802	53491	47512	 3474	34776	24614	55024	31050	18049	     	     	23283	44138	29275	18543	49099	40445	16862	 5284	25055	32559	     	27374	13089	49306	32786	     	48998	16830	     	     	47675	25458	43093	54917	34984	53414	47766	52975	31995	 5470	 6909	36988	13358	49334	 1174	  314	     	57027	 7473	22805	 9640	46057	35230	24325	15941	25222	 7723	29401	10236	26284	35409	26675	25226	     	15211	     	52223	58338	53050	31243	     	25858	36970	41293	30276	     	25889	50675	
  5		39816	54076	56726	51842	48338	33531	21902	16339	15779	     	56030	     	13422	26921	57481	29366	32772	 3923	11447	22352	49745	46693	 4616	55345	     	 6739	30699	     	     	58190	23511	44694	55582	     	43669	50418	50882	 8889	53686	 3768	14834	     	37283	34392	57973	45735	 4780	27852	21997	35004	59301	34321	 8339	33913	36991	18975	     	17054	 9058	     	59216	34781	23102	55088	12915	     	31443	11570	59387	20473	37077	40829	26824	     	32391	 4432	39095	46772	34407	29590	  796	32492	59826	 5592	24616	41107	43295	19394	48849	26439	45583	48950	41579	     	     	 8981	36899	10940	19383	52389	
  6		50792	38040	 5367	 1976	38520	10670	21598	25227	24621	51099	15163	23644	26723	58530	20389	48501	49377	  599	31536	30895	30797	     	  981	46061	 7235	15034	30984	45009	11795	31332	36405	10944	19875	 3280	30486	51517	11834	     	19678	 2566	58642	33449	54863	45773	34589	52760	     	33732	11905	24991	 1576	     	46051	34990	51981	44521	55339	 8478	 8280	     	32513	26042	56899	 2223	46778	30087	13583	42554	16941	     	20661	 3903	16482	45271	13841	43298	27026	19536	 4676	35712	26995	19587	11872	     	52058	 5614	46117	41447	52030	48591	54789	 6147	54173	23263	56075	54784	10373	23523	52485	51905	
  7		     	28997	     	36227	     	     	   99	22268	47132	     	48515	36957	34353	43767	55365	 7776	     	     	58852	59846	     	56415	42204	56064	11369	47522	14346	 4565	     	21066	15090	17080	41789	     	36702	37333	16001	 4662	25848	   32	16840	37209	 4900	 7847	49005	52587	35085	16717	50628	41195	39140	10956	59365	37507	55948	32616	47856	 8118	54392	26436	56901	17398	     	48329	     	14931	59065	48378	 4584	18636	19372	 1343	49650	25104	37876	17084	44952	41501	 3186	     	54945	15933	 1289	41641	33897	16228	     	     	 6117	56922	15852	56801	40544	48799	57318	 6535	40650	 9176	40841	28145	
  8		54160	 4140	 4619	14010	11059	     	46292	15321	15940	19461	     	58465	37622	12568	27257	40580	47483	     	46779	 9717	11929	     	48745	22441	23308	18431	10663	36120	17148	45706	     	31253	56966	 3386	     	55791	     	46930	55915	51313	31684	12758	44675	 1345	 5454	22993	17441	11875	24035	     	     	 3638	23499	17693	     	     	 9463	36597	25204	13142	57197	     	28938	56815	     	51796	25748	 2561	     	28005	52758	 6379	30983	     	10887	 1166	22412	     	37726	     	25493	55647	26918	31414	   41	 1280	30708	16054	51095	37710	34364	23665	     	 3155	     	34600	57210	 8684	11238	53982	
  9		30908	39075	26180	     	 6923	54758	 7654	 2618	53742	31399	50559	24601	36903	16983	56004	     	58604	 3309	22775	42055	17990	38960	     	     	 1919	25450	 6469	37747	55512	59519	11006	16195	20311	 2875	 4886	59808	31289	17497	 5556	42046	     	39491	     	     	40609	 3695	 8938	48298	34182	55624	51863	 1242	18557	14781	     	23521	45592	55373	 2880	21642	45245	15243	33768	16440	     	34682	42487	59262	34509	38313	24866	     	     	44849	56409	45575	34639	     	49354	10720	11151	18091	     	22851	17018	 8588	 5522	 8945	 1788	28786	 7442	     	     	29013	39836	58186	42833	15000	     	15601	
 10		 1879	54128	 9241	     	     	10078	     	27985	56028	     	15815	37669	39581	38845	31580	25435	55500	48067	     	15390	14996	     	43098	18836	35751	16765	38946	50796	20993	 1252	25464	35165	46011	 9016	 9630	10646	54608	42298	17695	20102	22902	 6250	50647	20182	     	55916	27427	17186	12554	     	45765	     	49880	40653	 4476	34020	28253	14204	51049	28232	52083	30957	27651	20281	33910	51701	 6124	     	50915	54770	  459	 5815	59195	     	 6306	 5995	47049	26094	13198	     	 2023	30918	51674	26213	 8774	38150	27227	33534	22060	 1892	54550	 5167	43604	38600	19029	39352	 6621	17778	     	51888	
 11		36268	 8477	23313	15881	27348	     	31280	41491	36115	34983	58974	22056	 2973	 7895	49319	     	41836	     	27805	     	10681	     	45631	22237	20207	46803	46672	49198	56111	27586	     	     	56656	 1320	 1422	52516	     	16232	     	56938	42188	 4375	     	58799	56381	10817	23886	51007	 6500	 2409	 1671	35707	14065	29006	 9454	16068	23743	26845	20357	27755	 9542	49620	 5110	57029	28958	 3056	14938	51379	 6217	     	16580	59082	21941	 1730	29327	44950	     	16560	25570	47137	39840	46975	12780	 6955	14598	 9943	     	     	49938	  511	 6091	46581	57651	47602	15313	 8738	12998	51109	     	35730	
 12		38340	14307	     	 7511	50522	14995	  847	59415	51228	22722	22923	     	     	55542	 9785	59964	53166	     	20031	37990	     	     	33749	13760	56489	54527	51090	58474	40717	19638	26039	18407	42503	18339	25627	     	33240	14430	 5412	55561	     	43436	53603	51032	 3602	26047	10187	17755	53582	25540	     	41768	 6420	16072	45091	58388	39554	39713	58238	55094	 8025	 6252	12391	11223	14296	12803	     	49036	     	47415	     	35170	19414	 1398	26854	53365	29720	 5640	33753	     	41406	42473	24753	 2138	40658	39385	53349	19986	33766	17548	26971	25218	21382	20610	 3734	49539	37868	13328	36503	     	
 13		14418	 4528	58517	49682	40115	59501	 5938	23469	42684	 2387	 3368	22124	 6385	 2649	23115	 5373	     	23367	     	21494	32120	27536	  800	58641	35578	31413	55835	38468	     	48912	44579	 4205	41299	 4146	     	52007	     	 3039	     	16447	10316	     	  135	10985	     	27587	42865	17774	24599	16031	26185	35910	54646	41159	19929	     	51035	21604	40780	16463	30237	19272	 6717	48057	13907	29377	36818	     	33270	44903	     	     	56267	35340	 1146	 7844	     	27150	 1159	 8766	16248	36393	21233	36420	36266	14936	36081	56661	28016	     	41850	53406	58089	  767	 5230	     	21284	     	26537	34669	
